id,name,headquarter,country_id,founded_year
26213,Transfer Covering,Baghdad,80,2011
26214,North Daring,Ljubljana,159,2005
26215,Threaded Brightness,New Delhi,77,2003
26216,Soluble Caption,Stockholm,169,2017
26217,Tractable Deadline,Nuku’alofa,177,2002
26218,Denim Nugget,Vilnius,101,2003
26219,Wooden Audience,Damascus,171,2004
26220,Duck Median,Tarawa Atoll,89,2002
26221,Milky Actuary,Suva,59,2009
26222,Boot Frosty,Tokyo,85,2016
26223,Story Grilled,Conakry,70,2023
26224,Bordeaux Darter,Abuja,129,2004
26225,Bud Accepting,Brussels,17,2002
26226,Roadway Urbane,Saint John’s,6,2008
26227,Setback Direct,Zagreb,43,2000
26228,Resultant Butter,Suva,59,2007
26229,Tessellation Cruel,Baku,11,2023
26230,Worn Longitude,Bamako,108,2015
26231,Hot Searing,Porto-Novo,19,2020
26232,Cowboy Either,Yerevan,8,2020
26233,Velocity Exact,Male,107,2008
26234,Messy Subfloor,Ouagadougou,27,2012
26235,Immature Chord,Baghdad,80,2005
26236,Pastry Objective,San Marino,150,2003
26237,Spicy Solvent,Asuncion,137,2006
26238,Pallid Heap,Mogadishu,161,2005
26239,Relative Rack,Bridgetown,15,2013
26240,Slope Wan,Belmopan,18,2019
26241,Ambitious Piles,Algiers,3,2011
26242,Pounded Chow,Lilongwe,105,2019
26243,Fortress Buoyant,Muscat,131,2003
26244,Case Fast,Guatemala City,69,2017
26245,Diff Isochoric,Ankara,180,2014
26246,Moat Sticky,Dodoma,174,2009
26247,Chateau Parallel,Bissau,71,2011
26248,Mad Surrender,Pyongyang,90,2006
26249,Brute Force,Seoul,91,2015
26250,Canteen Investor,Dushanbe,173,2018
26251,Brown Out,Bridgetown,15,2002
26252,Monitor Cheerful,Praia,32,2011
26253,Steel Taquito,Riyadh,152,2012
26254,Theme Fixed,Helsinki,60,2021
26255,Hill Loyal,Berlin,65,2006
26256,Chestnut Provenance,Doha,142,2017
26257,Spry Loop,Lima,138,2002
26258,Sizzling Acre,Ljubljana,159,2006
26259,Interior Actress,Dili,51,2020
26260,Rocket Creative,Gitega,28,2016
26261,Concave Em,Kathmandu,124,2013
26262,Margin Lenient,Majuro,110,2023
26263,Bike Direct,La Paz,21,2015
26264,Aperture Courtly,Ljubljana,159,2003
26265,Obsolete Horn,Manila,139,2005
26266,Juicy Abscissa,Ljubljana,159,2017
26267,Weapon Intricate,Andorra la Vella,4,2023
26268,Grave Property,Reykjavik,76,2002
26269,Skillset Obsolete,Bamako,108,2004
26270,Aperture Energetic,Banjul,63,2007
26271,Booming Rebase,Muscat,131,2008
26272,Savage Head,Maseru,97,2018
26273,Muffled Convert,Chisinau,115,2002
26274,Isomorphic Marinade,Maputo,120,2022
26275,Fuchsia Cobblestone,Abuja,129,2010
26276,External Confirmation,Madrid,164,2009
26277,Forward Hut,Bangkok,175,2007
26278,Harbor Sleek,Cape Town,162,2009
26279,Cell Merciless,Vientiane,94,2014
26280,Mode Arneis,Nassau,12,2022
26281,Spatial Speaker,Nairobi,88,2009
26282,Checkout Wary,Cape Town,162,2001
26283,Respectful Span,Brazzaville,39,2017
26284,Gold Dingo,Brasilia,24,2013
26285,Irregular Sum,Abuja,129,2004
26286,Ambitious Plate,Dodoma,174,2019
26287,Glossy Cost,Bangui,33,2016
26288,Nondeterministic Align,Dublin,81,2001
26289,Metal Tributary,Copenhagen,47,2017
26290,Kind Islet,Dakar,153,2001
26291,Fort Dynamic,Reykjavik,76,2004
26292,Nucleus Irregular,Nay Pyi Taw,121,2009
26293,Pure Lagoon,Algiers,3,2013
26294,Sweet Bunker,Dodoma,174,2015
26295,Stick Ternary,Libreville,62,2010
26296,Rank Inertia,Antananarivo,104,2012
26297,Staff Contract,Lome,176,2005
26298,Direct Pun,Victoria,155,2005
26299,Many University,Tashkent,189,2016
26300,Equidistant Cowboy,Asmara,56,2008
26301,Miter Frigid,Conakry,70,2004
26302,Blur Wooden,N’Djamena,34,2014
26303,Late Ensemble,Madrid,164,2016
26304,Brig Chromatic,Berlin,65,2012
26305,Camel Hertz,Sofia,26,2018
26306,Doughy Asset,Tallinn,57,2012
26307,Mild Stain,Sao Tome,151,2002
26308,Pod Unproductive,Vilnius,101,2000
26309,Crispy Height,Ulaanbaatar,117,2017
26310,Atlas Juvenile,Khartoum,166,2010
26311,School Overcast,Tirane,2,2006
26312,Inventory Immense,Tashkent,189,2002
26313,Scotia Creative,Port-au-Prince,73,2000
26314,Livid Bow,Maseru,97,2008
26315,Chromatic Flitch,Conakry,70,2011
26316,Force Tall,Yaounde,30,2012
26317,Pixel Progressive,Paris,61,2015
26318,Vulture Greasy,Kigali,145,2016
26319,Queue Tangy,Djibouti,48,2015
26320,Simple Scotia,Podgorica,118,2019
26321,Denim Radian,Valletta,109,2012
26322,Map Obliging,Mogadishu,161,2015
26323,Pintail Succulent,Port Moresby ,136,2018
26324,Bintree Rubbery,Tallinn,57,2017
26325,Poset Savory,Kathmandu,124,2009
26326,Satchel Warm,Canberra,9,2012
26327,Snow Tube,Tashkent,189,2003
26328,Stem Pale,Malabo,55,2021
26329,Muffin Arid,Dakar,153,2004
26330,Miniature Land,Nuku’alofa,177,2013
26331,Claret Berry,Khartoum,166,2016
26332,Recent Width,Tarawa Atoll,89,2010
26333,Mole Vibrato,Kigali,145,2013
26334,Deadline Seething,Lima,138,2021
26335,Hash Undecidable,Berne,170,2023
26336,Gallery Brutal,Berlin,65,2003
26337,Emerald Texture,Prague,46,2009
26338,Celeste Interval,San Jose,41,2018
26339,Broadcast Distinct,Managua,127,2019
26340,Stubborn Flora,Prague,46,2012
26341,Massive Relation,Hanoi,193,2014
26342,Narrows Balanced,Nouakchott,111,2005
26343,Formal Focus,Victoria,155,2009
26344,Coped Nailer,Ramallah,134,2015
26345,Opacity Plum,Kuala Lumpur,106,2001
26346,Optimal Skua,Dushanbe,173,2023
26347,Merge Crunchy,Luanda,5,2003
26348,Game Descent,Honiara,160,2006
26349,Mild Capstan,San Salvador,54,2003
26350,Booming Sum,Bridgetown,15,2014
26351,Landaulet Savage,Tokyo,85,2012
26352,Maltese Grilled,Sao Tome,151,2017
26353,Colorful Plant,Singapore,157,2018
26354,Annuity Asymptotic,Brazzaville,39,2023
26355,Frequency Decidable,Vatican City,191,2004
26356,Wasabi Legato,Pyongyang,90,2005
26357,Manifold Maroon,Copenhagen,47,2008
26358,Ensign Alternating,Lome,176,2009
26359,Hoop Wide,Niamey,128,2017
26360,Calm Transpose,Taipei,172,2015
26361,Flush Distinct,Kampala,183,2020
26362,Annoying Paste,Berne,170,2006
26363,Adjacent Station,Freetown,156,2005
26364,Online Instructor,Islamabad,132,2010
26365,Clan Cross,Taipei,172,2017
26366,Adaptation Bipartite,Brazzaville,39,2021
26367,Several Sideboard,Sofia,26,2015
26368,Trite Beech,Bandar Seri Begawan,25,2023
26369,Cockpit Ivory,Port-au-Prince,73,2016
26370,Document Burning,Amman,86,2015
26371,Careful Autobiography,Montevideo,188,2018
26372,Map Presto,Luanda,5,2011
26373,Raid Celeste,Paris,61,2018
26374,Stylus Interior,Managua,127,2001
26375,External Triathlon,Buenos Aires,7,2014
26376,Associative Pyramid,Cape Town,162,2007
26377,Ternary Rosin,Reykjavik,76,2018
26378,Cold Life,Quito,52,2013
26379,Angry Arena,Mogadishu,161,2013
26380,Appreciation Fresh,Havana,44,2012
26381,Weathered Lily,Kigali,145,2002
26382,Exponential Simple,Paris,61,2017
26383,Staff Circuit,Sao Tome,151,2014
26384,Sonata Taxonomic,Canberra,9,2000
26385,Coconut Bounded,San Salvador,54,2002
26386,Dull Nectar,Budapest,75,2017
26387,Commander Smoky,Gitega,28,2009
26388,Bitter Feature,Athens,67,2018
26389,Celeste Locus,Doha,142,2006
26390,Buttery Pascal,Nuku’alofa,177,2015
26391,Factory Arid,Beijing,36,2002
26392,App Isobaric,Praia,32,2019
26393,Accepting Pinot,Ankara,180,2012
26394,Abstract Archipelago,Dushanbe,173,2018
26395,Chenille Open,Sofia,26,2014
26396,Frogman Obliging,Ashgabat,181,2022
26397,Reflection Urbane,Washington D.C.,187,2002
26398,Radiant Mate,Mbabane,168,2014
26399,Creative Sectional,Copenhagen,47,2005
26400,Item Inventive,Saint George’s,68,2008
26401,Saucy Triathlon,Lisbon,141,2015
26402,Freezing Gram,Washington D.C.,187,2016
26403,Epoch Instant,Port-of-Spain,178,2023
26404,Freezing Model,Porto-Novo,19,2002
26405,Seasoning Mad,Nur Sultan,87,2001
26406,Elk Future,Rabat,119,2008
26407,Matching Hook,Wellington,126,2021
26408,Firmware Sour,Nay Pyi Taw,121,2008
26409,Synchronic Inventory,Skopje,103,2006
26410,Cyclic World,Islamabad,132,2011
26411,Flag Pure,Kingston,84,2000
26412,Each Cylinder,Valletta,109,2022
26413,Exec Savage,Belgrade,154,2003
26414,Proud Object,Moroni,38,2001
26415,Simple Buyer,Minsk,16,2021
26416,Stable Diffusion,Moroni,38,2000
26417,Weathered Triplex,Luxembourg,102,2001
26418,Bilge Shrewd,Libreville,62,2007
26419,Referee Red,Porto-Novo,19,2019
26420,Inflammable Screw,Maseru,97,2016
26421,Banana Ornery,Banjul,63,2000
26422,Stem Null,Dodoma,174,2008
26423,Option Ragged,Funafuti province,182,2011
26424,Basin Constant,Washington D.C.,187,2015
26425,Stem Matte,Skopje,103,2004
26426,Basic Benefit,Doha,142,2012
26427,Ripe Bandit,Helsinki,60,2012
26428,Reflection Rainy,Georgetown,72,2002
26429,Abstract Triplet,Bucharest,143,2008
26430,Mace Humongous,Phnom Penh,29,2012
26431,Kind Rosã©,Belmopan,18,2017
26432,Error Reduced,Kampala,183,2011
26433,Area Delicious,Gitega,28,2001
26434,Flat Taxi,Algiers,3,2019
26435,Primordial Bog,Banjul,63,2003
26436,Account Threaded,Islamabad,132,2003
26437,Atlas Horizontal,Ramallah,134,2019
26438,Raspberry Latent,Ottawa,31,2013
26439,Oily Tube,Monte Carlo,116,2010
26440,Bar Nervous,Riga,95,2011
26441,Chablis Many,New Delhi,77,2008
26442,Rowhouse Yellow,Riyadh,152,2000
26443,Neck Atomic,Tunis,179,2008
26444,Quiet Width,Vientiane,94,2003
26445,Late Cliff,Santiago,35,2006
26446,Clone Equidistant,Gitega,28,2018
26447,Heather Augmenting,Antananarivo,104,2012
26448,Thorn Moderato,Juba,163,2008
26449,Limburger Complex,Banjul,63,2007
26450,Fern Crispy,Dakar,153,2022
26451,Salty Correlation,Rabat,119,2008
26452,Poky Pike,Singapore,157,2000
26453,Rainy Whippet,Nouakchott,111,2007
26454,Graph Bland,Nouakchott,111,2009
26455,Neat Skyscraper,Damascus,171,2010
26456,Swell Avocado,Luxembourg,102,2005
26457,Sensitive Dividend,San Jose,41,2022
26458,Balance Free,Bangui,33,2007
26459,Starling Wintry,Cape Town,162,2005
26460,Cool Container,Cairo,53,2007
26461,Basin All,Vienna,10,2005
26462,Concave Matrix,Lome,176,2021
26463,Cube Gilded,Guatemala City,69,2013
26464,Dominant Cool,Kuala Lumpur,106,2006
26465,Citron Wallpaper,La Paz,21,2007
26466,Bow Flavorful,San Jose,41,2001
26467,Light Chocolate,Rome,83,2012
26468,Feasible Reflection,Ramallah,134,2023
26469,Effect Timid,Nuku’alofa,177,2003
26470,Bud Tense,Kingstown ,148,2017
26471,Bright Basket,Bamako,108,2003
26472,Bounce Cloying,Warsaw,140,2006
26473,Echelon Broad,Praia,32,2003
26474,Lime Serif,Windhoek,122,2016
26475,Disk Religious,Wellington,126,2017
26476,Shiraz Adventurous,Thimphu,20,2004
26477,Assumption Lenient,Tegucigalpa,74,2021
26478,Gold Normal,Wellington,126,2018
26479,Undirected Sale,Khartoum,166,2012
26480,Hash Prompt,Gitega,28,2011
26481,Recon Chromatic,Port Moresby ,136,2000
26482,Boondoggle Sensitive,Dili,51,2002
26483,Debug Colorful,Port-au-Prince,73,2002
26484,Pocket Independent,Beijing,36,2011
26485,Genteel Game,Muscat,131,2010
26486,Matching Siamese,Gaborone,23,2007
26487,Full Allegory,Skopje,103,2020
26488,Sparse Eaves,Baku,11,2010
26489,Brass Consulate,Nouakchott,111,2022
26490,Vibrato Content,Kigali,145,2016
26491,Hamburger Cheerful,Nay Pyi Taw,121,2000
26492,Dark Neutron,Suva,59,2003
26493,Covering Coach,Vientiane,94,2003
26494,Model Large,Maputo,120,2005
26495,Stringy Mass,Ashgabat,181,2000
26496,Shortest Capstan,Nicosia,45,2017
26497,Fixed Carrier,Majuro,110,2016
26498,Potential Darter,Gaborone,23,2000
26499,Sap Indigo,Gaborone,23,2012
26500,Factorial Log,Bamako,108,2007
26501,Hair Inclusive,Port-au-Prince,73,2007
26502,Humane Grain,Djibouti,48,2019
26503,Obliging Bow,Banjul,63,2004
26504,Objective Independent,Lusaka,195,2009
26505,Spry Bay,Brasilia,24,2020
26506,Dot Swift,Port-au-Prince,73,2007
26507,Balanced Platinum,Belmopan,18,2001
26508,Weathered Frame,Amman,86,2007
26509,Intense Link,Baghdad,80,2020
26510,Indulgent Sapwood,Damascus,171,2006
26511,Velvet Bright,Tirane,2,2014
26512,Bitter Casket,Bratislava,158,2022
26513,Vocoder Sunny,Amman,86,2014
26514,Trusting Brook,Seoul,91,2005
26515,User Glass,Khartoum,166,2022
26516,Burrito Adjacent,Vilnius,101,2011
26517,Culture Orthogonal,Palikir,114,2021
26518,Giant Salmon,Porto-Novo,19,2015
26519,Subcompact Modern,Palikir,114,2009
26520,Bike Odious,Majuro,110,2004
26521,Tense Recipe,Porto-Novo,19,2004
26522,Counting Country,Castries,147,2003
26523,Carriage Laminated,Roseau,49,2001
26524,Brass Boxy,Banjul,63,2012
26525,Shares Heartless,N’Djamena,34,2000
26526,Proper Commit,Ramallah,134,2005
26527,Clear Spruce,Jerusalem,82,2013
26528,Rounded Seller,Lisbon,141,2021
26529,Binary Wireframe,Jerusalem,82,2017
26530,Simple Bat,Tripoli,99,2016
26531,Wavelength Serious,Dakar,153,2006
26532,Xylophone Caramelized,Seoul,91,2008
26533,Commission Prompt,Manila,139,2021
26534,Tense Digraph,Brussels,17,2009
26535,Icy Referee,Wellington,126,2005
26536,Simple Line,Hanoi,193,2012
26537,Playlist Chunky,Lisbon,141,2009
26538,Brown Tanager,Antananarivo,104,2021
26539,Encumbrance Interior,Tbilisi,64,2016
26540,Lagoon Balanced,Minsk,16,2006
26541,Car Succulent,Managua,127,2007
26542,Emporium Pointed,Melekeok,133,2013
26543,Diffusion Intractable,San Salvador,54,2004
26544,Red Triangle,Taipei,172,2007
26545,Plain Staff,Port-Vila,190,2008
26546,Valley Prompt,Tarawa Atoll,89,2023
26547,Pasta Radioactive,Funafuti province,182,2005
26548,Average House,Tokyo,85,2023
26549,Exothermic Ledger,Moroni,38,2019
26550,Cloverleaf Cheerful,Rabat,119,2018
26551,Solid Central,Kingston,84,2022
26552,Chord Formal,Nassau,12,2018
26553,Bourbon Ecru,Kuwait City,92,2002
26554,Vehicle Stale,Moroni,38,2019
26555,Central Crest,Brussels,17,2017
26556,Ship Radial,Kampala,183,2023
26557,Sort Flavorful,Dili,51,2016
26558,Ridge Radioactive,Kiev,184,2021
26559,Dry Outlier,Dhaka,14,2018
26560,Date Objective,Copenhagen,47,2020
26561,Array Windy,Seoul,91,2017
26562,Spaniel Celeste,Bratislava,158,2021
26563,Easy Range,Monrovia,98,2005
26564,Quiet Founder,Dublin,81,2009
26565,Pagoda Cerulean,Kabul,1,2002
26566,Width Joint,Rome,83,2020
26567,Pure Malbec,Nay Pyi Taw,121,2023
26568,Birch Vain,Kuala Lumpur,106,2009
26569,Flush Model,Abuja,129,2020
26570,Ambitious Marlin,Belgrade,154,2018
26571,Chord Ripe,Belmopan,18,2009
26572,Halibut Elaborate,Kingston,84,2009
26573,Duck Approximate,Kiev,184,2022
26574,Immature Points,Rome,83,2013
26575,Synchronic Strait,Damascus,171,2019
26576,Descriptive Buffalo,Bangkok,175,2022
26577,Briny World,Funafuti province,182,2021
26578,Sienna Sage,Helsinki,60,2014
26579,Mountain Citric,Kingston,84,2010
26580,Genteel Segue,Vienna,10,2002
26581,Bear Piercing,Victoria,155,2011
26582,Inscribed Fm,Tegucigalpa,74,2018
26583,Magenta Setback,Antananarivo,104,2012
26584,Miniature Falloff,Apia,149,2017
26585,Pale Moss,Mexico City,113,2010
26586,Browser Adjacent,Amman,86,2010
26587,Bisque Envelope,San Marino,150,2002
26588,Buoyant Font,Saint John’s,6,2019
26589,Regional Margarine,Riga,95,2022
26590,Alternator Relaxed,Mexico City,113,2011
26591,Agile Subdivision,Monrovia,98,2002
26592,Dimension Careful,Dakar,153,2013
26593,Archer Cerulean,Moscow,144,2023
26594,Bamboo Golden,Lilongwe,105,2012
26595,Frayed Mountain,Banjul,63,2010
26596,Cleat Dark,Damascus,171,2014
26597,Massive Thrush,Kigali,145,2011
26598,Crunchy Recursion,Freetown,156,2015
26599,Booming Shed,Santiago,35,2006
26600,Dense Sapwood,Maseru,97,2000
26601,Author Amicable,Maputo,120,2000
26602,Rectilinear Artifact,Tallinn,57,2015
26603,Chief Sidebar,Dili,51,2020
26604,Azimuth Feasible,Djibouti,48,2000
26605,Advanced Template,Bridgetown,15,2023
26606,Humid Stern,Washington D.C.,187,2010
26607,Data Mild,Damascus,171,2012
26608,Conduit Windy,Bogota,37,2001
26609,Glum Observatory,La Paz,21,2005
26610,Shoot Molten,Manila,139,2021
26611,Chrome Zingy,Tokyo,85,2005
26612,Express Store,Lilongwe,105,2005
26613,Century Chalky,Bangkok,175,2014
26614,Relaxed Strait,Nouakchott,111,2013
26615,Denim Fjord,Mogadishu,161,2022
26616,Auburn Guarantor,Warsaw,140,2008
26617,Ostrich Quick,Luanda,5,2014
26618,Bounce Avocado,Tegucigalpa,74,2002
26619,Ordered Fern,Warsaw,140,2003
26620,Outboard Soluble,Quito,52,2020
26621,Numerous Cymbal,Nairobi,88,2012
26622,Snippet Champagne,Saint George’s,68,2018
26623,Unsorted Mileage,Kampala,183,2006
26624,Roaring Pitch,Honiara,160,2008
26625,Blocky Glaze,Beijing,36,2010
26626,Null Crocodile,Port-Vila,190,2003
26627,Queue Strong,Bissau,71,2001
26628,Devout Sheave,Praia,32,2017
26629,Rink Stable,Belgrade,154,2020
26630,Equilateral Projection,Muscat,131,2022
26631,Greedy Radiation,Dakar,153,2018
26632,Preference Chewy,Nassau,12,2006
26633,Intractable Tank,Addis Ababa,58,2018
26634,Interference Free,Niamey,128,2012
26635,Lead Packet,Amman,86,2013
26636,Rainy Glaze,Niamey,128,2021
26637,Ayu Iron,Bangkok,175,2022
26638,Quaver Sweet,Vatican City,191,2003
26639,Stale Tie,Cape Town,162,2012
26640,Piercing Supernova,Cape Town,162,2011
26641,Hair Syrupy,Port-au-Prince,73,2016
26642,Centroid Hasty,Sri Jayewardenepura Kotte,165,2010
26643,Alternating Agreeance,Pyongyang,90,2007
26644,Wintry Array,San Marino,150,2014
26645,Editor Savage,Pyongyang,90,2001
26646,Molto Husky,Majuro,110,2023
26647,Officer Generative,Bridgetown,15,2005
26648,Silver Initiative,Windhoek,122,2016
26649,Adaptive Zipper,Wellington,126,2004
26650,Oily File,Libreville,62,2017
26651,Helpful Guide,Yaren District,123,2021
26652,Violet Canon,Rome,83,2016
26653,Silver Class,Monte Carlo,116,2017
26654,Clearance Savory,Mbabane,168,2023
26655,Jungle Insulated,Bamako,108,2014
26656,Saturation Beige,Buenos Aires,7,2008
26657,Consultant Heather,Andorra la Vella,4,2007
26658,Octet Lead,Muscat,131,2020
26659,Oily Wrap,Gitega,28,2007
26660,Bridge Diagonal,Moroni,38,2007
26661,Fried Fleet,Buenos Aires,7,2023
26662,Potential Deliverable,Belmopan,18,2000
26663,Scale Similar,Amman,86,2015
26664,Angry Structure,Ljubljana,159,2020
26665,Mechanical Highlight,Saint John’s,6,2013
26666,Rectilinear Marinade,New Delhi,77,2000
26667,Tap Hushed,Phnom Penh,29,2013
26668,Seasoned Property,Mbabane,168,2023
26669,Other Hypothesis,Mogadishu,161,2008
26670,Jaguar Linear,Wellington,126,2017
26671,Louver Grouchy,Mogadishu,161,2014
26672,Horizontal Banner,Luanda,5,2021
26673,Yeoman Messy,Algiers,3,2002
26674,Goldfinch Symmetric,Paris,61,2000
26675,Perpendicular Record,Nassau,12,2021
26676,Prior Cold,Ulaanbaatar,117,2014
26677,En Wintry,Kuala Lumpur,106,2018
26678,Lagoon Inverse,Freetown,156,2018
26679,Dyadic Skin,Yamoussoukro,42,2018
26680,Soul Jumbo,Santo Domingo,50,2022
26681,Burmese Tender,San Marino,150,2013
26682,Router Coherent,Lima,138,2020
26683,Cabin Coffee,Bangkok,175,2009
26684,Cordon Blaring,Caracas,192,2011
26685,Icy Gunwale,Port Moresby ,136,2003
26686,Buffalo Navy,Yaren District,123,2013
26687,Key Primary,Rabat,119,2007
26688,Amicable Model,Manama,13,2023
26689,Pie Wide,Yaren District,123,2010
26690,Pound Coherent,Georgetown,72,2012
26691,Cabinet Light,Belgrade,154,2012
26692,Tattered Bleed,Belmopan,18,2017
26693,Emerald Sample,Suva,59,2008
26694,Light Advanced,Rabat,119,2007
26695,Direct Caviar,Managua,127,2019
26696,Stunt Planar,Kabul,1,2018
26697,Coral Triangle,Tashkent,189,2000
26698,Syrup Zingy,Beijing,36,2011
26699,Width Jet,Tarawa Atoll,89,2007
26700,Edging Equidistant,Tunis,179,2003
26701,Nut Black,Vaduz,100,2007
26702,Rig Rainy,Yerevan,8,2019
26703,Ash Loser,Bogota,37,2006
26704,Quay Breezy,Port-Vila,190,2015
26705,Muffler Obnoxious,Accra,66,2021
26706,Human Emporium,Monte Carlo,116,2005
26707,Independence Quiet,Singapore,157,2016
26708,Capacitor Persistent,Athens,67,2023
26709,Sync Mild,Paris,61,2020
26710,Critical Pigeon,San Marino,150,2023
26711,Owner Courtly,Budapest,75,2009
26712,Inverted Emerald,Conakry,70,2006
26713,Salt Elaborate,Bissau,71,2000
26714,Strong Starling,Dakar,153,2021
26715,Asset Magenta,Kingston,84,2005
26716,Leather Delta,Copenhagen,47,2020
26717,Refund Interior,Baghdad,80,2021
26718,Chilly Template,Bamako,108,2015
26719,Selfish Chocolate,Baku,11,2010
26720,Buyer Best,Rabat,119,2019
26721,Complicated Coverage,Ashgabat,181,2014
26722,Null Keep,Kingston,84,2014
26723,Test Salty,Amsterdam,125,2023
26724,Treble Cyclic,Copenhagen,47,2015
26725,Customer Object,Managua,127,2020
26726,Midpoint Active,Malabo,55,2001
26727,Convolution Blue,Nassau,12,2019
26728,Chocolaty Instrument,Port Louis,112,2002
26729,Soluble Acre,Tallinn,57,2019
26730,Sycamore Wicker,Kiev,184,2021
26731,Recent Beat,Skopje,103,2011
26732,Savory Plaid,Libreville,62,2013
26733,Set Dyadic,Freetown,156,2016
26734,Citric Archive,Bishkek,93,2002
26735,Canary Rotation,Basseterre,146,2018
26736,Slalom Zingy,Belgrade,154,2017
26737,Truss Modern,Thimphu,20,2007
26738,Orthogonal Squash,Roseau,49,2007
26739,Silent Language,Pyongyang,90,2010
26740,Path Cyan,San Salvador,54,2006
26741,Hoops Leather,Ashgabat,181,2011
26742,View Electric,Podgorica,118,2003
26743,Administrator Shy,Algiers,3,2018
26744,Full Hound,Victoria,155,2019
26745,Slide Exact,Nur Sultan,87,2015
26746,Snowy Grove,Ashgabat,181,2002
26747,Marked Sync,Monte Carlo,116,2013
26748,Coral Palette,Warsaw,140,2005
26749,Nest Senior,Djibouti,48,2003
26750,Sluggish Act,Rabat,119,2019
26751,Debt Pure,Kingston,84,2019
26752,Navy Chit,Havana,44,2022
26753,Diachronic Rating,Muscat,131,2019
26754,Score Jellied,Wellington,126,2020
26755,Witty Chest,Vilnius,101,2012
26756,Achromatic Grape,Niamey,128,2018
26757,Warm Dome,Khartoum,166,2010
26758,Numerous Crocodile,Vaduz,100,2023
26759,Mirror Obsolete,Riyadh,152,2002
26760,Young Cylinder,Vatican City,191,2019
26761,Range Raw,Dili,51,2022
