id,name,headquarter,country_id,founded_year
1245,Snippet Fresh,Pyongyang,90,2017
1246,Beneficiary Stable,Abuja,129,2009
1247,Ivory Desert,Windhoek,122,2001
1248,Isomorphic Drum,Berlin,65,2003
1249,Credit Glossy,Yaren District,123,2003
1250,Molding Sleek,San Salvador,54,2001
1251,Predicate Chocolaty,Nur Sultan,87,2009
1252,Bezier Scared,Kuwait City,92,2023
1253,Garden Level,Moroni,38,2021
1254,Leather Fleece,New Delhi,77,2005
1255,Canal Ebony,Ankara,180,2013
1256,Font Adaptive,Addis Ababa,58,2015
1257,Salty Command,Hanoi,193,2013
1258,Nosing Overcast,Reykjavik,76,2003
1259,Mouth Other,Stockholm,169,2023
1260,Flag Sienna,Santiago,35,2002
1261,Aquamarine Vocoder,Buenos Aires,7,2005
1262,Loch Graceful,Madrid,164,2012
1263,Rowhouse Naive,Maseru,97,2004
1264,Shabby Reflection,Santo Domingo,50,2001
1265,Interval Equidistant,Ouagadougou,27,2018
1266,Sriracha Oriented,Kingstown ,148,2017
1267,Ray Nutty,Tegucigalpa,74,2017
1268,Collision Ornery,Tunis,179,2021
1269,Ghost Plain,Podgorica,118,2009
1270,Shortest Riesling,Yaounde,30,2001
1271,Maroon Brass,Riga,95,2003
1272,Polite Hoagie,Islamabad,132,2012
1273,Wide Ship,Vilnius,101,2005
1274,Achromatic Conference,Doha,142,2021
1275,Concave Razorbill,Nassau,12,2014
1276,Gate Unsorted,San Jose,41,2022
1277,Layer Meek,Ramallah,134,2010
1278,Convoluted Motor,N’Djamena,34,2015
1279,Braised List,Rome,83,2002
1280,Liability Dull,Lilongwe,105,2013
1281,Bare Ellipsis,Yamoussoukro,42,2014
1282,Trite Shallows,Saint John’s,6,2013
1283,Agent Bold,Tegucigalpa,74,2008
1284,Archive Plain,Gaborone,23,2006
1285,Log Inflammable,Port Moresby ,136,2015
1286,Brownian Stud,Vilnius,101,2010
1287,Modern Fowl,Tehran,79,2009
1288,Luminosity Asphalt,Niamey,128,2016
1289,Belvedere Cold,Helsinki,60,2021
1290,Wise South,Maputo,120,2023
1291,Sparrow Senile,Majuro,110,2002
1292,Antenna Alternating,Yaren District,123,2000
1293,Canal Solid,Nuku’alofa,177,2005
1294,Suv Leather,Tbilisi,64,2006
1295,Frisbee Local,Bridgetown,15,2013
1296,Bight Obliging,Tallinn,57,2002
1297,Burrata Offline,Bogota,37,2002
1298,Firestop Fancy,Port-Vila,190,2012
1299,Dialogue Greasy,Rome,83,2020
1300,Ride Concrete,Copenhagen,47,2020
1301,Candied Bunker,Nuku’alofa,177,2020
1302,Spatial Upside,Yerevan,8,2004
1303,Lifer Funny,Majuro,110,2011
1304,Rating Rectilinear,Basseterre,146,2021
1305,Chill Inertia,Juba,163,2010
1306,Sleek Curve,San Jose,41,2008
1307,Pallid Modulation,Skopje,103,2019
1308,Turkey Intense,Basseterre,146,2013
1309,Meat Soft,London,186,2017
1310,Sandstone Contemporary,Lusaka,195,2011
1311,Planar Diamond,Helsinki,60,2022
1312,Oily Fen,Sao Tome,151,2007
1313,Loon Pure,Male,107,2010
1314,Lead Lanyard,Belgrade,154,2008
1315,Fjord Internal,Buenos Aires,7,2016
1316,Blocky Highlight,Seoul,91,2011
1317,Estuary Narrow,Kabul,1,2001
1318,Honey Crispy,Gaborone,23,2015
1319,Snow Margin,Nassau,12,2011
1320,Birch Plain,Stockholm,169,2022
1321,Rigid Hoagie,Taipei,172,2016
1322,Truck Nearest,Beijing,36,2020
1323,Scuba Boolean,Nairobi,88,2023
1324,Merciless Pantone,Cairo,53,2000
1325,Counting Branch,Malabo,55,2020
1326,Giant Template,Mbabane,168,2001
1327,Davit Sticky,Sarajevo,22,2023
1328,Shoulder Immense,Mogadishu,161,2011
1329,Gong Primordial,Damascus,171,2010
1330,Lean Cottage,Chisinau,115,2011
1331,Late Pumice,Washington D.C.,187,2018
1332,Condenser Jet,Conakry,70,2011
1333,Brutal Citrus,Havana,44,2013
1334,Fox Nuclear,Tarawa Atoll,89,2023
1335,Variance Dense,Tegucigalpa,74,2023
1336,Terminal Locker,Mogadishu,161,2018
1337,Boundary Stringy,Majuro,110,2020
1338,Parallel Shiny,Dodoma,174,2015
1339,Fluid Large,Hanoi,193,2007
1340,Merciless Surface,Antananarivo,104,2023
1341,Prompt Stock,Tbilisi,64,2005
1342,Cloudy Boat,Sarajevo,22,2017
1343,Obvious Venison,Kiev,184,2011
1344,Residual Finite,Moroni,38,2001
1345,Olive Simple,Kigali,145,2008
1346,Pool Average,Canberra,9,2011
1347,Salsa Cold,Juba,163,2005
1348,Product Glass,Havana,44,2011
1349,Legato Assurance,Georgetown,72,2020
1350,Underpass Colorful,Ouagadougou,27,2013
1351,Chamfered Beer,Antananarivo,104,2021
1352,Ancient Hour,Nay Pyi Taw,121,2011
1353,Recursion Excited,Rome,83,2023
1354,Service Internal,Banjul,63,2006
1355,Vein Parallel,Tallinn,57,2010
1356,Sickbay Cool,Islamabad,132,2008
1357,Bow Creamy,Yaren District,123,2002
1358,Equidistant Diffraction,Sanaa,194,2002
1359,Sparrow Dry,Thimphu,20,2021
1360,Vibrant Cinema,Caracas,192,2014
1361,Thundering Tube,Lusaka,195,2002
1362,Opacity Absolute,Djibouti,48,2003
1363,Pyramid Rounded,Male,107,2015
1364,Nutritious Gravity,Suva,59,2014
1365,Olive Inverse,Managua,127,2012
1366,Accuracy Acidic,Baghdad,80,2021
1367,Radial Argument,Santiago,35,2018
1368,Column Serious,Vienna,10,2004
1369,Isobaric Squash,Nassau,12,2003
1370,Angora Black,Mexico City,113,2002
1371,Celeste Axe,New Delhi,77,2016
1372,Extraction Wide,Jerusalem,82,2005
1373,Orange Pitch,Ottawa,31,2011
1374,Large Soul,Warsaw,140,2023
1375,Visible Sap,London,186,2010
1376,Poplin Toasted,Beirut,96,2004
1377,Random Nation,Phnom Penh,29,2021
1378,Scaffold Dichotomic,Nay Pyi Taw,121,2011
1379,Spore Religious,Monrovia,98,2011
1380,Node Soluble,Dakar,153,2005
1381,Archer Simple,Accra,66,2014
1382,Rasp Clean,Amsterdam,125,2017
1383,Poached Truck,Male,107,2004
1384,Rich Agent,Sarajevo,22,2022
1385,District Cabriolet,Banjul,63,2006
1386,Cream Fader,Porto-Novo,19,2010
1387,Vibrant Relativity,Pyongyang,90,2019
1388,Easy Balinese,Montevideo,188,2021
1389,Style Mature,Nay Pyi Taw,121,2023
1390,Band Spatial,Tripoli,99,2010
1391,Mountain Charitable,Taipei,172,2003
1392,Reduced Ounce,Rome,83,2001
1393,Silo Central,Tirane,2,2019
1394,Diachronic Decision,Victoria,155,2019
1395,Indigo Vision,Gitega,28,2000
1396,Khaki Burl,Abu Dhabi,185,2007
1397,Iron Fleece,Canberra,9,2014
1398,Villa Greasy,Lilongwe,105,2000
1399,Siberian Bland,Kiev,184,2005
1400,Thundering Shiraz,Monrovia,98,2001
1401,Calorie Internal,Roseau,49,2005
1402,Plaster Amicable,Saint John’s,6,2020
1403,Staff Log,Vientiane,94,2002
1404,Loop Objective,Malabo,55,2012
1405,Fort Toasted,Bamako,108,2021
1406,Humble Plugin,Dushanbe,173,2022
1407,Tone Briny,Bissau,71,2023
1408,Flannel Plain,Andorra la Vella,4,2003
1409,Compression Gourmet,Asmara,56,2016
1410,Wicker Balance,Madrid,164,2004
1411,Stone Fruit,Nay Pyi Taw,121,2000
1412,Chianti Concurrent,Mogadishu,161,2022
1413,Sequence Legacy,Conakry,70,2014
1414,Flat Neutrino,Dhaka,14,2022
1415,Charge Isomorphic,Kingston,84,2018
1416,Apparition Easy,Nur Sultan,87,2007
1417,Approximate Product,Nuku’alofa,177,2000
1418,Buttery Callback,Budapest,75,2016
1419,Brute Force,Tallinn,57,2014
1420,Approximate Fluid,Brasilia,24,2009
1421,Beige Analogy,Nur Sultan,87,2001
1422,Plain Redoubt,Ulaanbaatar,117,2000
1423,Kicker Undecidable,Monrovia,98,2001
1424,Flank Sizzling,Kuwait City,92,2013
1425,Soluble Jackal,Kabul,1,2008
1426,Stern Credits,Sanaa,194,2003
1427,Collision Finite,Nuku’alofa,177,2005
1428,Cold Keyword,Vienna,10,2007
1429,Van Formal,Port-of-Spain,178,2003
1430,Azure Stage,Ljubljana,159,2012
1431,Lard Volumetric,Mbabane,168,2022
1432,Mint Log,Luanda,5,2013
1433,Stern Smooth,Dhaka,14,2004
1434,Union Narrow,Manama,13,2009
1435,Manuscript Edible,Apia,149,2018
1436,Weight Matte,Ouagadougou,27,2012
1437,Staff Cosine,Bandar Seri Begawan,25,2019
1438,Relaxation Strong,Skopje,103,2017
1439,Denouement Canary,Saint George’s,68,2000
1440,Force Brute,Vatican City,191,2013
1441,Velocity Intricate,Ramallah,134,2001
1442,School Regular,Kingston,84,2015
1443,Concrete Covariance,Berlin,65,2000
1444,Piquant Turntable,Nuku’alofa,177,2016
1445,Chardonnay Acidic,Kathmandu,124,2009
1446,Bamboo Topped,Cairo,53,2019
1447,Cinnamon Threadbare,Algiers,3,2004
1448,Free Bugle,Port-au-Prince,73,2012
1449,Cold Buyer,Lisbon,141,2017
1450,Relaxed Delay,Kathmandu,124,2000
1451,Emrasure Independent,Yaren District,123,2011
1452,Discriminator Rectilinear,Beirut,96,2019
1453,Walk Magenta,Kabul,1,2012
1454,Bland Rebate,Luanda,5,2018
1455,Bracket Marinated,Rome,83,2021
1456,Broad Style,Kathmandu,124,2015
1457,Pleasant Lag,Bamako,108,2000
1458,Strong Sport,Helsinki,60,2009
1459,Chino Straight,Ouagadougou,27,2001
1460,Quantum Segue,Doha,142,2010
1461,Maroon Celesta,Apia,149,2002
1462,Attenuation Antique,Bratislava,158,2017
1463,Skin Chocolaty,Baghdad,80,2011
1464,Distance Greasy,Bridgetown,15,2011
1465,Nectarine Grouchy,Skopje,103,2015
1466,Holder Claret,Kabul,1,2015
1467,Sortie Ornery,Antananarivo,104,2021
1468,Citric Fencing,Kampala,183,2001
1469,Transform Tart,Pyongyang,90,2010
1470,Channel Purple,Kingstown ,148,2006
1471,Stubborn Marsh,Pyongyang,90,2001
1472,Nucleus Asymptotic,Asuncion,137,2012
1473,Twitch Basic,Dhaka,14,2004
1474,Aged Directive,Tokyo,85,2005
1475,Heather Kelp,Port-Vila,190,2015
1476,Precision Freezing,Bandar Seri Begawan,25,2005
1477,Mixture Nimble,Tarawa Atoll,89,2000
1478,Bound Azure,Chisinau,115,2004
1479,Bridge Glossy,Suva,59,2000
1480,Potential Snippet,Tokyo,85,2015
1481,Set Vibrant,Gaborone,23,2023
1482,Beige Lane,Thimphu,20,2017
1483,Poached Edging,Monrovia,98,2008
1484,Absolute Liner,Juba,163,2002
1485,Scarfing Objective,Sanaa,194,2015
1486,Oblique Life,Cape Town,162,2021
1487,Sienna Store,Honiara,160,2003
1488,Intense Plaster,Yaren District,123,2009
1489,Obtuse Ginger,Ramallah,134,2023
1490,Oily Lane,Dublin,81,2013
1491,Underpass Hushed,Khartoum,166,2013
1492,Raspberry Fancy,Montevideo,188,2012
1493,Factorial Roundel,Havana,44,2018
1494,Simple Skunk,Montevideo,188,2005
1495,Draft Amber,Moscow,144,2010
1496,Knot Clear,Kabul,1,2013
1497,Wintry Buyout,Ramallah,134,2007
1498,Colorful Hub,Dushanbe,173,2009
1499,Canary Magnetic,Ramallah,134,2016
1500,Remote Inclusive,Pyongyang,90,2022
1501,Owner Short,Maputo,120,2020
1502,Request Dichotomic,Reykjavik,76,2008
1503,Resonance Latent,Port Moresby ,136,2016
1504,Speedy Group,Cairo,53,2004
1505,Steamed Ball,Kingston,84,2001
1506,Stone Champagne,Islamabad,132,2002
1507,Organic Grenade,Conakry,70,2008
1508,Rude Degree,Riga,95,2015
1509,Chief Teal,Canberra,9,2002
1510,Bone Pit,Vatican City,191,2018
1511,Arid Accelerometer,Damascus,171,2007
1512,Outlet Frigid,Sao Tome,151,2020
1513,Language Flat,Port-au-Prince,73,2000
1514,Pounded Pressure,Lusaka,195,2021
1515,Dark Indulgent,San Marino,150,2011
1516,Unsorted Knot,Monrovia,98,2003
1517,Obtuse User,Kabul,1,2000
1518,Debug Simple,Kabul,1,2000
1519,Shabby Pile,Caracas,192,2012
1520,Pass Toasted,Kampala,183,2010
1521,Magnetic Lath,Belmopan,18,2003
1522,Drab Retriever,Havana,44,2016
1523,Pod Perpendicular,Havana,44,2016
1524,Mature Sheet,Jerusalem,82,2008
1525,Flat Grout,Kuala Lumpur,106,2003
1526,Profile Hasty,Ulaanbaatar,117,2006
1527,Nectarine Contemporary,Brussels,17,2012
1528,Stock Marinated,Brussels,17,2019
1529,Mall Cross,Bamako,108,2018
1530,Translation Calm,Nuku’alofa,177,2001
1531,Column Radiant,Reykjavik,76,2020
1532,Filler Metal,Damascus,171,2001
1533,Excited Footing,Sarajevo,22,2006
1534,Principal Triplet,Tripoli,99,2020
1535,Long Helmet,Sanaa,194,2011
1536,Scared Withdrawal,Gitega,28,2010
1537,Metal Limburger,Nairobi,88,2021
1538,Light Cheerful,Amsterdam,125,2009
1539,Crunchy Airport,Thimphu,20,2011
1540,Cinnamon Stale,Mexico City,113,2021
1541,Villa Ancient,Panama City,135,2001
1542,Chateau Grating,Bangui,33,2012
1543,Warm Geometry,Lilongwe,105,2017
1544,Dynamic Effusion,Georgetown,72,2000
1545,Obliging Archive,Moroni,38,2016
1546,Rust Weed,New Delhi,77,2021
1547,Spot Internal,Prague,46,2005
1548,Music Bone,Belgrade,154,2003
1549,Petal Eager,Riga,95,2023
1550,Muenster Glad,Yamoussoukro,42,2020
1551,Bronze Oil,Nay Pyi Taw,121,2009
1552,Saucy Velvet,Nay Pyi Taw,121,2021
1553,Freezing Exposure,Santiago,35,2002
1554,Survey Mute,Port-au-Prince,73,2002
1555,Bounded Pass,Vientiane,94,2009
1556,Bass Drab,Berlin,65,2006
1557,Cabana Formal,Dakar,153,2017
1558,Connected Shift,Windhoek,122,2012
1559,Binary Canteen,Beirut,96,2003
1560,Narrow Soul,Wellington,126,2017
1561,Caramelized Swamp,Honiara,160,2015
1562,Equilateral Analogy,Nay Pyi Taw,121,2021
1563,Balance Few,San Marino,150,2016
1564,Triangle Vintage,Brussels,17,2001
1565,Spatial Skyscraper,Lome,176,2022
1566,Free Siamese,Tegucigalpa,74,2013
1567,Chick Swift,Nay Pyi Taw,121,2011
1568,Magnification Oblique,Ljubljana,159,2003
1569,Pheasant Swarm,Lusaka,195,2015
1570,Tiger Future,Nouakchott,111,2001
1571,Chestnut Fitness,Tallinn,57,2016
1572,Blocky Column,Oslo,130,2018
1573,Local Conference,Kabul,1,2017
1574,Starter Sluggish,Prague,46,2009
1575,Cheerful Riesling,Paris,61,2011
1576,Target Cheerful,Phnom Penh,29,2009
1577,Siamese Savory,Monte Carlo,116,2010
1578,Golf Naive,Washington D.C.,187,2014
1579,Hard Coverage,Vientiane,94,2011
1580,Alignment Hushed,Bucharest,143,2001
1581,Absolute Ketchup,Dhaka,14,2023
1582,Volumetric Voice,Baku,11,2020
1583,Atomic Pier,Male,107,2018
1584,Shoot Sunny,Vienna,10,2015
1585,Coda Gold,Yerevan,8,2007
1586,Inlay Immediate,Ramallah,134,2001
1587,Topped Salamander,Asuncion,137,2008
1588,Stone Photometry,Moroni,38,2004
1589,Stale Mat,Luanda,5,2016
1590,Tessellation Flush,Libreville,62,2003
1591,Initiative Flavorful,Ulaanbaatar,117,2006
1592,Convex Projection,Bratislava,158,2016
1593,Constant Deed,Lome,176,2004
1594,Vocoder Augmenting,Cairo,53,2016
1595,Oily Adjugate,Honiara,160,2021
1596,Flat Fern,Bogota,37,2021
1597,Abstract Subcompact,Santiago,35,2009
1598,Flora Resultant,Nouakchott,111,2007
1599,Gaffer Recent,Belgrade,154,2011
1600,Lead Horn,Bratislava,158,2000
1601,Base Soft,Accra,66,2019
1602,Devout Domain,Damascus,171,2006
1603,Palm Citric,Male,107,2018
1604,Solid Atoll,Funafuti province,182,2020
1605,Bright Path,Ankara,180,2010
1606,Archaic Valuation,Nassau,12,2013
1607,Tomato Powerset,Kabul,1,2003
1608,Greasy Convolution,Monrovia,98,2018
1609,Provolone Undecidable,London,186,2008
1610,Blazing Interval,Copenhagen,47,2001
1611,Sample Tough,Asmara,56,2003
1612,Gusset Symmetric,Maseru,97,2018
1613,Inch Latent,Yamoussoukro,42,2013
1614,Withdrawal Express,Khartoum,166,2013
1615,Plumb Object,Minsk,16,2003
1616,International Narrows,Ljubljana,159,2014
1617,Hull Interior,Malabo,55,2009
1618,Rabbit Equidistant,Vientiane,94,2015
1619,Matte Winning,Belgrade,154,2010
1620,Contemporary Keep,Monte Carlo,116,2021
1621,Warm Oriental,Luxembourg,102,2022
1622,Messy Elk,Vilnius,101,2013
1623,Bend Sour,Bangkok,175,2020
1624,Internal Acceleration,Tokyo,85,2015
1625,Matte Chock,Kingstown ,148,2008
1626,Ledger Lead,Port-Vila,190,2006
1627,Tabby Salty,Thimphu,20,2016
1628,Orange Upload,Saint John’s,6,2011
1629,Facilitator Jolly,Accra,66,2016
1630,Straight Setback,Mbabane,168,2020
1631,Radial Mode,Washington D.C.,187,2003
1632,Render Bitter,Funafuti province,182,2010
1633,Scene Greedy,Nuku’alofa,177,2009
1634,Frosty Class,Helsinki,60,2004
1635,Spicy Parkway,Baku,11,2004
1636,Napalm Livid,Basseterre,146,2000
1637,Flamingo Jellied,Berne,170,2000
1638,Fader Commutative,Beijing,36,2011
1639,Lot Acoustic,Jerusalem,82,2023
1640,Maximum Screen,Bishkek,93,2012
1641,Claim Cream,Brasilia,24,2023
1642,Mansion Burning,Andorra la Vella,4,2010
1643,Brie Sunny,Tripoli,99,2014
1644,Loud Void,Islamabad,132,2006
1645,Complement Brass,Banjul,63,2015
1646,Grizzled Viola,Libreville,62,2014
1647,Patch Large,Port Moresby ,136,2015
1648,Pair Cautious,Washington D.C.,187,2023
1649,Bow Weighted,San Jose,41,2013
1650,Cruel Grout,Port Moresby ,136,2007
1651,Round Planner,Bandar Seri Begawan,25,2019
1652,Savory Judo,Tallinn,57,2005
1653,Parallel Undecidable,Conakry,70,2006
1654,Sienna Drill,Ljubljana,159,2003
1655,Surface Graceful,Yerevan,8,2013
1656,Confirmation Rectilinear,Port-of-Spain,178,2018
1657,Graph Rosy,Basseterre,146,2010
1658,Ringtone Courtly,Seoul,91,2010
1659,Unsorted Scale,N’Djamena,34,2016
1660,Windy Valuation,Riyadh,152,2002
1661,Regular Bot,Kingston,84,2014
1662,Beat Cloying,Sao Tome,151,2006
1663,Molding Agile,Dodoma,174,2005
1664,International Bud,Tarawa Atoll,89,2015
1665,Vertical Mile,Dublin,81,2014
1666,Optical Drink,Gaborone,23,2017
1667,Energetic Sound,Asuncion,137,2004
1668,Sienna Supervisor,Conakry,70,2015
1669,Andante Center,Mbabane,168,2002
1670,Lion Yellow,Djibouti,48,2019
1671,Vicious Mile,Pyongyang,90,2005
1672,Forward Trout,Dublin,81,2002
1673,Swarm Facade,Santiago,35,2019
1674,Central Bug,Maseru,97,2004
1675,Submodule Simmered,Funafuti province,182,2022
1676,Sluggish Pine,Managua,127,2010
1677,Salty Compound,Lusaka,195,2014
1678,Valley Sensitive,Kabul,1,2012
1679,Reload Narrow,Santiago,35,2004
1680,Isobaric Alternator,Beirut,96,2003
1681,Envelope Vertical,Moroni,38,2012
1682,Vicious Interest,Chisinau,115,2023
1683,Starling Progressive,Manama,13,2002
1684,Angle Extremal,Sarajevo,22,2006
1685,Primary Value,Sarajevo,22,2006
1686,Element Insulated,Stockholm,169,2014
1687,Universal Decision,Victoria,155,2013
1688,Lake Closed,Male,107,2006
1689,Bulwark Corporate,Buenos Aires,7,2004
1690,Amortized Carrier,Amman,86,2002
1691,Climax Median,Kigali,145,2013
1692,Offline Tin,Moscow,144,2015
1693,Cape Piercing,Basseterre,146,2017
1694,Charlie Serious,Kuala Lumpur,106,2010
1695,Spot Complicated,Berlin,65,2019
1696,Foggy Kiwi,Tehran,79,2021
1697,Model Uniform,Amman,86,2017
1698,Sack Minty,Tirane,2,2016
1699,Budget Swarm,Tokyo,85,2021
1700,Brandy Similar,Kuwait City,92,2015
1701,Reveal Cheerful,Montevideo,188,2021
1702,Scared Circle,Berlin,65,2012
1703,Raw West,Georgetown,72,2018
1704,Planner Radiant,Bangui,33,2009
1705,Exothermic Row,Oslo,130,2014
1706,Endothermic Backburner,Asuncion,137,2001
1707,Rounded Gully,La Paz,21,2002
1708,Primary Energy,Dublin,81,2009
1709,Radiation Chewy,Saint George’s,68,2005
1710,Lean Queue,Ottawa,31,2000
1711,Strong Kern,Windhoek,122,2022
1712,Gong Persistent,Majuro,110,2016
1713,Associative Hangar,Asmara,56,2000
1714,Amp Free,Podgorica,118,2020
1715,Feasible Elevation,Berlin,65,2021
1716,Chamfered Predicate,Santiago,35,2013
1717,Arctic Carton,Oslo,130,2014
1718,Stalk Excited,Phnom Penh,29,2022
1719,All Pot,Doha,142,2013
1720,Cautious Radio,Asuncion,137,2003
1721,Provolone Jolly,Rome,83,2018
1722,Bogey Objective,New Delhi,77,2003
1723,Nuclear Newton,Prague,46,2011
1724,Attache Either,Warsaw,140,2003
1725,Jacquard Purple,Guatemala City,69,2005
1726,Nice Bucket,Wellington,126,2010
1727,Bare Timber,Muscat,131,2022
1728,Absorption Modern,Victoria,155,2006
1729,Tense Hill,Singapore,157,2023
1730,Direct Dormitory,Brazzaville,39,2007
1731,Crow Fuchsia,Thimphu,20,2014
1732,Sesame Stubborn,Belmopan,18,2005
1733,Jumper Local,Bogota,37,2005
1734,Crispy Tincan,Ulaanbaatar,117,2010
1735,Cautious Dog,Paris,61,2010
1736,Vivid Clover,N’Djamena,34,2021
1737,Latency Silver,Yaounde,30,2022
1738,Flavorful Infantry,Bamako,108,2023
1739,Proper Dialogue,Bangkok,175,2018
1740,Circle Complex,Maputo,120,2019
1741,Improvement Cool,Belmopan,18,2006
1742,Pixel Feldspar,Lilongwe,105,2012
1743,Coal Transform,Nuku’alofa,177,2014
1744,Date Large,Skopje,103,2014
1745,White Snippet,Tripoli,99,2020
1746,Pushback Level,Phnom Penh,29,2003
1747,Flush Aged,Sri Jayewardenepura Kotte,165,2018
1748,Pintail Atomic,Kathmandu,124,2022
1749,Calm Order,La Paz,21,2020
1750,Tattered Viper,Nuku’alofa,177,2010
1751,Inlet Callous,Brasilia,24,2015
1752,Objective Flitch,Asuncion,137,2009
1753,Crew Lazy,Seoul,91,2003
1754,Grilled Asadero,Rome,83,2019
1755,Binary Golden,Dili,51,2000
1756,Red Bookshelf,Bamako,108,2005
1757,Salsa Tattered,Harare,40,2004
