id,stage_name,full_name,date_of_birth,birthplace,group_id,country_id,gender,weight,height
101,Chaejin,Chae Jinseok,1995-12-26,Seoul,282.0,91,M,,
102,Chaekyung,Yoon Chaekyung,1996-07-07,Incheon,41.0,91,F,45.0,160.0
103,Chael,Lim Junyeop,2001-12-07,,251.0,91,M,,186.0
104,Chaelin,Lee Chaelin,1999-10-20,,150.0,91,F,47.0,162.0
105,Chaerin,Park Chaerin,2002-03-13,,101.0,91,F,,
106,Chaerin,Park Chaerin,2003-03-31,,206.0,91,F,,
107,Chaerin,Lee Chaerin,2007-07-07,,,91,F,,
108,Chaeryeong,Lee Chaeryeong,2001-06-05,Yongin,217.0,91,F,,
109,Chaesol,Maeng Chaesol,1998-07-14,Yeosu,105.0,91,F,,
110,Chaewon,Kim Chaewon,1997-11-08,Gongju,41.0,91,F,,
111,Chaewon,Kim Chaewon,2000-08-01,Seoul,240.0,91,F,,
112,Chaewon,Lee Chaewon,2000-03-18,,258.0,91,F,,
113,Chaewon,Yoon Chaewon,2003-06-04,,108.0,91,F,,163.0
114,ChaeY,Song Chaeyeon,2003-01-06,,114.0,91,F,,
115,Chaeyeon,Jung Chaeyeon,1997-12-01,Suncheon,128.0,91,F,49.0,165.0
116,Chaeyeon,Kim Chaeyeon,2004-12-04,,394.0,91,F,,
117,Chaeyeon,Lee Chaeyeon,2000-01-11,Yongin,220.0,91,F,,
118,Chaeyoung,Son Chaeyoung,1999-04-23,Seoul,398.0,91,F,,159.0
119,Chaeyoung,Lee Chaeyoung,2000-05-14,Pohang,157.0,91,F,,
120,Chahee,Park Sooyoung,1996-03-24,,,91,F,,167.0
121,Chan,Jung Chanwoo,1998-01-26,Yongin,208.0,91,M,,
122,Chan,Kang Yoochan,1997-12-31,Jeju,19.0,91,M,,
123,Chan,Jo Chanhyuk,1999-12-08,,384.0,91,M,,
124,Changbin,Seo Changbin,1999-08-11,Yongin,364.0,91,M,,
125,Changbum,Woo Changbum,1993-10-07,Sokcho,,91,M,,
126,Changgyu,Song Changgyu,1993-07-06,,407.0,91,M,,
127,Changjo,Choi Jonghyun,1995-11-16,Chuncheon,373.0,91,M,,
128,Changsub,Lee Changsub,1991-02-26,Suwon,89.0,91,M,64.0,177.0
129,Changsun,Lee Changsun,1996-03-17,,7.0,91,M,58.0,179.0
130,Changuk,Joo Changuk,2001-07-25,,134.0,91,M,59.0,184.0
131,Chani,Kang Chanhee,2000-01-17,,345.0,91,M,,
132,Chanmi,Kim Chanmi,1996-06-19,Gumi,37.0,91,F,47.0,166.0
133,Chansung,Hwang Chansung,1990-02-11,Seoul,11.0,91,M,75.0,184.0
134,Chanwon,An Chanwon,2008-03-21,,381.0,91,M,,
135,Chanwook,Yang Chanwook,2002-02-25,,430.0,91,M,62.0,184.0
136,Chanyeol,Park Chanyeol,1992-11-27,Seoul,147.0,91,M,70.0,185.0
137,Chanyong,Kim Chanyong,1993-04-29,Suwon,,91,M,,
138,Chanyoung,Kim Chanyoung,2000-11-20,,126.0,91,M,,
139,Chanyoung,Jung Chanyoung,2004-01-31,Incheon,189.0,91,M,67.0,180.0
140,Chen,Kim Jongdae,1992-09-21,Silheung,147.0,91,M,64.0,173.0
141,Cheongeum,Jang Cheongeum,1996-06-19,,,91,F,,
142,Chi.u,Lee Jaeyi,1998-08-16,,,91,F,,
143,Chihoon,Choi Chihoon,1999-04-27,,384.0,91,M,,
144,Chiwoo,Guk Seungjun,2002-09-02,,232.0,91,M,,
145,Chloe,Yun Jiwon,2001-01-06,Seoul,105.0,91,F,,163.0
146,Choa,Park Choa,1990-03-06,Incheon,,91,F,42.0,160.0
147,Choa,Heo Minjin,1990-07-12,Seoul,115.0,91,F,,161.0
148,Choerry,Choi Yerim,2001-06-04,,,91,F,,
149,Choi In,Choi In,1996-02-11,,138.0,91,M,50.0,170.0
150,Choi Jiann,Choi Jaewoo,1997-09-30,,291.0,91,M,,175.0
151,Chorong,Park Chorong,1991-03-03,Chungwongoon,39.0,91,F,,165.0
152,Chowon,Han Chowon,2002-09-16,Seoul,241.0,91,F,50.0,168.0
153,Chowon,Kim Chowon,2005-08-18,,206.0,91,F,,
154,Choyeon,Kim Choyeon,2001-08-01,,91.0,91,F,44.0,164.0
155,Chris,Han Chris,2002-11-19,,76.0,91,M,,
156,Chungha,Kim Chungha,1996-02-09,Dallas,,91,F,,
157,Chunji,Lee Chanhee,1993-10-05,Seongnam,373.0,91,M,,
158,Chuu,Kim Jiwoo,1999-10-20,Cheongju,,91,F,,
159,CL,Lee Chaerin,1991-02-26,,10.0,91,F,,
160,CNU,Shin Dongwoo,1991-06-16,Seoul,54.0,91,M,64.0,182.0
161,Cory,Hong Joohyung,1990-11-25,Daegu,7.0,91,M,58.0,175.0
162,Cya,Lee Giwook,2000-01-24,,,91,M,,
163,Cyan,Lee Chaeeun,2001-04-04,Sanbon,91.0,91,F,,
164,D.ana,Cho Eunae,1995-09-10,Seoul,357.0,91,F,,170.0
165,D.O.,Do Kyungsoo,1993-01-12,Gyeonggi,147.0,91,M,60.0,173.0
166,D1,Jang Dongil,1998-02-15,,129.0,91,M,59.0,174.0
167,Dabi,Park Jiwon,2000-01-19,,42.0,91,F,,
168,Daehwi,Lee Daehwi,2001-01-29,Seoul,23.0,91,M,,
169,Daehyeon,Jang Daehyeon,1997-02-11,,428.0,91,M,,175.0
170,Daehyun,Jung Daehyun,1993-06-28,Busan,50.0,91,M,63.0,177.0
171,Daeil,Kim Daeil,1992-05-10,Busan,,91,M,,
172,Daesung,Daesung,1989-04-26,Incheon,63.0,91,M,63.0,178.0
173,Daeun,Jung Daeun,1994-06-03,Bucheon,9.0,91,F,,161.0
174,Daewang Nim,Daewang Nim,1996-04-08,,311.0,91,F,49.0,162.0
175,Daeyeol,Lee Daeyeol,1993-02-11,Yongin,174.0,91,M,,
176,Dahye,Song Dahye,1993-06-12,,,91,F,,
177,Dahyun,Kim Dahyun,1998-05-28,Seongnam,398.0,91,F,,165.0
178,Dahyun,Jeong Dahyun,2005-04-29,,331.0,91,F,,160.0
179,Dahyun,Seo Dahyun,2003-01-08,Busan,394.0,91,F,,160.0
180,Dain,Song Jieun,1990-06-25,,,91,F,,
181,Dain,Jung Dain,2004-12-15,,,91,F,,
182,Daisy,Yoo Jeongahn,1999-01-22,Seoul,,91,F,,
183,Dajeong,Kim Dajeong,1995-08-08,Gwangju,,91,F,,170.0
184,Dajeong,Jung Dajeong,2003-07-31,,312.0,91,F,42.0,157.0
185,Dakyung,Jung Dakyung,2001-07-23,,197.0,91,F,,
186,Dalyn,Lee Sohyun,1999-08-27,,35.0,91,F,,
187,Damhee,Park Damhee,2000-06-21,,,91,F,,
188,Dami,Lee Yoobin,1997-03-07,Seoul,132.0,91,F,,163.0
189,Dami,Hong Dayoung,2001-06-07,,35.0,91,F,,
190,Damin,Kang Damin,2004-03-24,Seoul,323.0,91,F,42.0,166.0
191,Dan-a,Park Seungyeon,1993-06-26,,263.0,91,F,160.0,
192,Dana,Jang Dana,2003-12-25,,,91,F,,
193,Daniel,Kang Daniel,1996-12-10,Busan,420.0,91,M,,
194,Danielle,Mo Jihye,2005-04-11,Munsan,290.0,91,F,,165.0
195,Dann,Jung Seungbo,1997-11-01,Ilsan,232.0,91,M,,178.0
196,Dany,Jeon Eunji,1998-01-20,,,91,F,,
197,Daon,Ahn Seonil,2000-12-10,,136.0,91,M,,
198,Dara,Park Sandara,1984-11-12,,10.0,91,F,,
199,Daseul,Yang Daseul,2000-09-14,,258.0,91,F,,
200,Dasom,Kim Dasom,1993-05-06,,352.0,91,F,,
201,Dasom,Lee Dasom,1993-11-13,Cheongju,9.0,91,F,,164.0
202,Davin,Kim Davin,2002-05-30,Seoul,441.0,91,M,,187.0
203,Dawon,Nam Dawon,1997-03-16,Seoul,432.0,91,F,,167.0
204,Dawon,Lee Sanghyuk,1995-07-24,,345.0,91,M,,
205,Dawon,Cho Dawon,2000-05-12,,410.0,91,M,69.0,183.0
206,Dawon,Lee Dawon,1996-12-02,,44.0,91,F,,
207,Daye,Kim Hyunjung,1998-02-25,,61.0,91,F,,167.0
208,Dayeon,Hwang Da Kyeon,1995-11-17,,442.0,91,F,,
209,Dayeon,Kim Dayeon,2003-03-02,,230.0,91,F,,158.0
210,Dayoung,Kim Dayoung,1991-02-02,Jeonju,71.0,91,F,,
211,Dayoung,Im Dayoung,1999-05-14,Jeju,432.0,91,F,,161.0
212,Dayun,Kim Dayun,2000-11-20,,82.0,91,F,,164.0
213,Della,Park Sehyun,1995-09-03,,332.0,91,F,,
214,Denise,Kim Denise,2001-01-11,,,91,F,,
215,Dey,Kim Sehyun,2003-06-11,,445.0,91,M,,
216,Dia,Kwak Minnyeong,1999-09-03,,258.0,91,F,,
217,Dia,Choi Eunji,2001-07-16,,312.0,91,F,,165.0
218,Dino,Lee Chan,1999-02-11,Iksan,344.0,91,M,54.0,167.0
219,DK,Lee Seongmin,1997-02-18,Yongin,344.0,91,M,68.0,178.0
220,DK,Kim Donghyuk,1997-01-03,,208.0,91,M,,
221,DK,Kim Dokyun,1998-02-16,,73.0,91,M,,
222,Do-A,Choi Yuna,1999-02-02,,32.0,91,F,,
223,Doa,Im Youngseo,2001-10-29,,426.0,91,F,44.0,158.0
224,Doah,Kim Doah,2003-12-04,,150.0,91,F,42.0,163.0
225,Doeun,Kim Doeun,2007-12-24,Asan,444.0,91,F,,168.0
226,Doha,Na Gyumin,2004-03-07,,58.0,91,M,,
227,Doha,Park Doha,1992-03-27,Seoul,438.0,91,M,65.0,175.0
228,Dohee,Yoon Dohee,1999-09-24,,,91,F,,
229,Dohee,Min Dohee,1994-09-25,,382.0,91,F,39.0,152.0
230,Dohee,Kwon Dohee,2002-08-01,Seoul,105.0,91,F,39.0,158.0
231,Dohoon,Kim Dohoon,2005-01-30,,400.0,91,M,,
232,Dohwan,Gil Dohwan,2003-08-26,,106.0,91,M,61.0,175.0
233,Dohyon,Nam Dohyon,2004-11-10,,58.0,91,M,62.0,180.0
234,Dohyuk,Kim Dohyuk,1998-01-16,,3.0,91,M,,
235,Dohyun,Park Dohyun,2003-10-23,,251.0,91,M,,180.0
236,Doi,Kim Doi,1994-04-12,,150.0,91,F,,170.0
237,Dojin,Jeon Yongtae,1997-03-07,,140.0,91,M,61.0,181.0
238,Dokyun,Na Dokyun,1991-02-11,Daejeon,200.0,91,M,65.0,184.0
239,Donggeon,Song Donggeon,1999-07-15,,384.0,91,M,,
240,Donghae,Lee Donghae,1986-10-15,Mokpo,366.0,91,M,60.0,176.0
241,Donghan,Kim Donghan,1998-07-03,Daegu,428.0,91,M,,
242,Dongheon,Lee Dongheon,1995-08-04,,412.0,91,M,,
243,Donghun,Lee Donghun,1993-05-15,Suncheon,19.0,91,M,,
244,Donghyuk,Park Donghyuk,1999-12-18,,73.0,91,M,61.0,178.0
245,Donghyun,Kim Donghyun,1989-02-12,Seoul,84.0,91,M,60.0,178.0
246,Donghyun,Kim Donghyun,1999-02-23,,174.0,91,M,,
247,Donghyun,Kim Donghyun,1998-09-17,Daejeon,23.0,91,M,,
248,Dongjun,Kim Dongjun,1992-02-11,Busan,446.0,91,M,,
249,Dongjun,Hwang Dongjun,1999-09-07,,,91,M,,
250,Dongkyu,Moon Dongkyu,1992-11-16,,358.0,91,M,,
251,Dongmyeong,Son Dongmyeong,2000-01-20,,,91,M,,
252,Dongpyo,Son Dongpyo,2002-09-09,,271.0,91,M,48.0,166.0
253,Dongwan,Kim Dongwan,1979-11-21,Pohang,349.0,91,M,68.0,173.0
254,Dongwon,Lee Dongwon,1994-01-01,,236.0,91,M,,184.0
255,Dongwoo,Jang Dongwoo,1990-11-22,Guri,213.0,91,M,58.0,171.0
256,Dongwoon,Son Dongwoon,1991-06-06,Busan,194.0,91,M,64.0,181.0
257,Dongyun,Kim Dongyun,2002-02-18,,134.0,91,M,61.0,177.0
258,Doojoon,Yoon Doojoon,1989-07-04,Goyang,194.0,91,M,66.0,177.0
259,Doryun,Kim Doryun,2000-05-01,,29.0,91,M,,
260,Dosie,Jang Eunseung,2000-02-11,,321.0,91,F,,
261,Douhyun,Yoo Douhyun,2000-12-25,,271.0,91,M,,
262,Dowoon,Yoon Dowoon,1995-08-25,,125.0,91,M,,
263,Doyeon,Kim Doyeon,1999-12-04,Incheon,429.0,91,F,,
264,Doyoung,Kim Dongyoung,1996-02-01,Guri,288.0,91,M,,
265,Doyoung,Kim Doyoung,2003-12-04,,389.0,91,M,,
266,Duna,Kang Duna,2005-04-28,Gangwon,118.0,91,F,,
267,DY,Jeon Doyum,2002-02-21,Daejeon,225.0,91,M,55.0,175.0
268,Dylan,Park Yeonjae,2002-07-26,,126.0,91,M,,
269,E'Dawn,Kim Hyojong,1994-06-01,,,91,M,,
270,E-Chan,Lee Changmin,1997-02-19,,129.0,91,M,63.0,178.0
271,E-tion,Lee Changyoon,1994-12-24,Jeonju,305.0,91,M,,
272,E-Young,Noh Yiyoung,1992-08-16,Chuncheon,28.0,91,F,,
273,E.Ji,Choi Jiwon,2000-11-08,,206.0,91,F,,
274,E.sol,Jeon Jaehyuk,1992-09-17,,3.0,91,M,,
275,E:U,Park Jiwon,1998-05-19,,143.0,91,F,,
276,Eden,Jae Won,1998-03-27,,292.0,91,M,,
277,EJ,Kim Eunji,1997-08-13,,32.0,91,F,47.0,164.0
278,Ella,Kim Kyungjoo,1998-03-26,,,91,F,,
279,Ellin,Kim Minyoung,1990-04-02,Daegu,115.0,91,F,44.0,165.0
280,Elly,Jung Haerim,1998-07-20,,429.0,91,F,,
281,Ellyn,Bang Sunhee,2002-10-19,,168.0,91,F,170.0,
282,Elva,Lee Yonghwa,2003-05-05,,211.0,91,F,,
283,Eric,Son Youngjae,2000-12-22,,376.0,91,M,56.0,171.0
284,Eric,Moon Junghyuk,1979-02-16,Seoul,349.0,91,M,70.0,180.0
285,Eseo,Noh Hyunjung,1996-03-04,,252.0,91,F,,161.0
286,Eson,Kim Jungmin,1996-12-28,Honolulu,424.0,91,M,63.0,177.0
287,Euaerin,Lee Hyemin,1988-05-03,Seoul,,91,F,48.0,174.0
288,Euijeong,Yeon Euijeong,2001-07-21,,,91,F,49.0,170.0
289,Euijin,Hong Euijin,1996-10-08,Gwangju,357.0,91,F,,168.0
290,Euijin,Lee Euijin,1990-02-15,Seoul,64.0,91,M,,
291,Eun,Choi Eunmi,1990-05-14,,399.0,91,F,,
292,Euna,,2003-05-25,,426.0,91,F,,164.0
293,EunB,Shin Eunbi,2000-09-17,,258.0,91,F,,
294,EunB,Byun Eunbi,2000-11-23,Busan,315.0,91,F,49.0,164.0
295,Eunbi,Kwon Eunbi,1995-09-27,Seoul,220.0,91,F,,
296,Eunbin,Kwon Eunbin,2000-01-06,Seoul,109.0,91,F,48.0,167.0
297,Eunchae,Kwon Chaewon,1999-05-26,,128.0,91,F,,
298,Eunchae,Son Eunchae,1999-10-06,Pohang,91.0,91,F,38.0,154.0
299,Eunchae,Hong Eunchae,2006-11-10,,240.0,91,F,,172.0
300,Eunchan,Choi Byeongseop,2001-02-27,,374.0,91,M,,184.0
301,Eunha,Jung Eunbi,1997-05-30,Seoul,415.0,91,F,,163.0
302,Eunho,Shin Donggeun,1992-09-10,,407.0,91,M,,
303,Eunho,Myung Eunho,2001-03-25,,445.0,91,M,,
304,Eunhyuk,Lee Hyukjae,1986-04-04,Ilsan,366.0,91,M,58.0,176.0
305,Eunice,Heo Sooyeon,1991-09-02,Busan,128.0,91,F,49.0,166.0
306,Eunil,Kim Eunil,2003-11-21,,391.0,91,M,,
307,Eunil,Kim Eunil,2003-11-21,,392.0,91,M,,
308,Eunjae,Kwak Eunjae,1996-05-02,,3.0,91,M,,
309,Eunji,Jung Eunji,1993-08-18,Busan,39.0,91,F,,163.0
310,Eunji,Hong Eunji,1992-07-19,Seoul,87.0,91,F,,
311,Eunjin,Ahn Eunjin,1997-08-31,Mokpo,,91,F,49.0,170.0
312,Eunjin,Ma Eunjin,1997-05-23,Wonju,313.0,91,F,49.0,165.0
313,Eunjin,Moon Eunjin,1998-11-05,,196.0,91,F,,
314,Eunjo,Park Eunjo,2002-03-07,,133.0,91,F,46.0,164.0
315,Eunjun,Choi Eunjun,1999-08-06,,29.0,91,M,,
316,Eunjung,Ham Eunjung,1988-12-12,Seoul,371.0,91,F,47.0,167.0
317,Eunki,Hong Eunki,1997-09-29,,,91,M,,182.0
318,Eunkwang,Seo Eunkwang,1990-11-22,Yongin,89.0,91,M,62.0,173.0
319,Eunsang,Lee Eunsang,2002-10-26,,445.0,91,M,58.0,180.0
320,Eunseo,Son Juyeon,1998-05-27,Incheon,432.0,91,F,,167.0
321,Eunseok,Song Eunseok,2001-03-19,,329.0,91,M,57.0,180.0
322,Eunseop,Kim Eunseop,2006-06-18,,251.0,91,M,,185.0
323,Eunsung,Lee Eunsung,2000-09-07,,,91,M,,
324,Eunwoo,Jeong Eunwoo,1998-07-01,,198.0,91,F,48.0,167.0
325,Eunwoo,Cha Eunwoo,1997-03-30,Gunpo,46.0,91,M,,
326,Eunyoung,Joo Eunyoung,1992-06-12,,399.0,91,F,,
327,Exy,Chu Sojung,1995-11-06,Busan,432.0,91,F,,166.0
328,Eyedi,Nam Yujin,1995-12-08,,,91,F,,
329,Felix,Lee Youngbok,2000-09-15,Sydney,364.0,91,M,,
330,G-Dragon,Kwon Jiyong,1988-08-18,Seoul,63.0,91,M,58.0,177.0
331,G.O,Jung Byunghee,1987-11-06,Changwon,264.0,91,M,,
332,Gabin,Kim Gabin,1989-09-18,Busan,71.0,91,F,,
333,Gabin,Yoo Seunghyun,2001-09-11,Busan,226.0,91,M,,
334,Gaeul,Park Gaeul,1999-05-08,Seoul,152.0,91,F,48.0,164.0
335,Gaeul,Kim Gaeul,2002-09-24,Incheon,218.0,91,F,46.0,166.0
336,Gaeun,Cho Kaeun,1992-07-28,Changwon,,91,F,,
337,Gaeun,Oh Gaeun,2005-11-08,,242.0,91,F,,165.0
338,Gaeun,Lee Gaeun,2000-07-18,,,91,F,,
339,Gaga,Lee Soobin,1994-11-10,,,91,F,,164.0
340,Gahyeon,Lee Gahyeon,1999-02-03,Seongnam,132.0,91,F,,
341,Gain,Son Gain,1987-09-20,,88.0,91,F,,
342,Gaon,Beom Gaon,2001-03-09,,82.0,91,F,,163.0
343,Gaon,Kwak Jiseok,2002-01-14,Uijeongbu,437.0,91,M,,171.0
344,Garam,Kim Garam,2005-11-16,,,91,F,,170.0
345,Gayoon,Heo Gayoon,1990-05-18,Seoul,14.0,91,F,,165.0
346,Gayoung,Kim Gayoung,1991-12-02,Seoul,363.0,91,F,,
347,Genie,Cho Heejin,2002-03-19,,386.0,91,F,,
348,Geonu,Lee Geonwoo,2001-02-02,,225.0,91,M,,176.0
349,Geumhee,Han Geumhee,2005-03-04,Incheon,118.0,91,F,,
350,Geummi,Baek Boram,1988-06-18,Seoul,115.0,91,F,,165.0
351,Gihwan,Kim Gihwan,1993-11-24,,351.0,91,M,,
352,Gijung,Kim Gijung,2001-01-24,,,91,M,,180.0
353,Gikwang,Lee Gikwang,1990-03-30,Gwangju,194.0,91,M,58.0,171.0
354,Giru,Park Giru,1991-08-14,Incheon,71.0,91,F,,
355,Giseok,Jun Giseok,1997-05-02,,,91,M,,180.0
356,GK,Kim Kwanghyun,1998-09-29,,129.0,91,M,60.0,177.0
357,Go_U,Jang Junho,2001-06-15,,76.0,91,M,,
358,Goeun,Na Goeun,1999-09-03,,321.0,91,F,44.0,160.0
359,Gohn,Kim Dongsung,1992-08-01,Seoul,,91,M,,
360,Gohyeon,Go Hyeon,1994-10-01,,3.0,91,M,,
361,Gon,Kim Seongjung,1998-11-13,,43.0,91,M,,
362,Gon,Lee Wonseo,1995-08-07,,409.0,91,M,65.0,180.0
363,Gongchan,Gong Chansik,1993-08-14,Suncheon,54.0,91,M,60.0,181.0
364,Gowon,Park Chaewon,2000-11-19,,246.0,91,F,,
365,Gowoon,Moon Yujeong,1998-12-18,,61.0,91,F,,167.0
366,Gracie,Kim Gaeun,1996-10-28,,185.0,91,F,,
367,Gun,Kwak Gun,2001-09-29,,3.0,91,M,,
368,Gunil,Go Gunil,1998-07-24,Yongin,437.0,91,M,,170.0
