id,title,release_date,type,duration,genre,group_id
143,Golden Hourglass,2023-07-24,Mini Album,1067.0,Pop,301
144,Real Love,2022-03-28,Album,1937.0,K-Pop,301
145,Get Up,2023-07-21,EP Album,733.0,Pop,290
146,OMG,2023-01-02,Single Album.,397.0,,290
147,Boys will be Boys,2023-07-19,Mini Album,1090.0,Pop,271
148,EXIST,2023-07-10,Regular Album,1705.0,,147
149,Don’t Fight the Feeling,2021-06-07,Mini album/Special album,,"K-pop, R&B, Pop",147
150,YOUTH IN THE SHADE,2023-07-10,Mini Album,1062.0,Pop,447
151,SWEET,,Album,2276.0,,401
152,The Name Chapter: TEMPTATION,2023-01-27,Mini Album,867.0,Pop,401
153,4SHO,2023-07-04,Single Album,992.0,Pop,373
154,Love Pt.3 : Eternally,2023-06-29,Mini Album,1009.0,,428
155,HARD,,Album,2006.0,,348
156,GIRL’s ROUND Part. 2,2023-06-21,Mini Album,1126.0,Pop,239
157,CONTINUE?,2023-06-15,Mini Album,923.0,Pop,251
158,Subcönscióus,2023-06-12,Mini Album,1047.0,Pop,411
159,HARMONY : ALL IN,2023-06-08,Mini Album,1111.0,Pop,308
160,BOYHOOD,2023-06-07,Mini Album,1143.0,Pop,383
161,LOVE NEVER DIES,2023-02-15,Mini Album,940.0,Pop,383
162,Unlock My World,2023-06-05,Regular Album,1926.0,Pop,157
163,Macarena,,,,,76
164,WIN-DOW,,,,,76
165,BOBBIN,,,,,76
166,SEAT-BELT,,,,,76
167,CHECK-IN,,,,,76
168,Liminality – EP.DREAM,2023-05-16,Mini Album,792.0,Pop,412
169,Beginning : The Wind Page,2023-05-15,Mini Album,786.0,Pop,381
170,Bubbling,2023-05-12,Single Album,392.0,Pop,29
171,STAGE 0. BETTING STARTS,2022-11-17,Mini Album,628.0,Pop,29
172,TAKE OFF,2023-05-04,Full Album,2004.0,Pop,208
173,WIND AND WISH,2023-05-02,Mini Album,1082.0,Pop,89
174,I’ve IVE,2023-04-10,Full Album,2057.0,Pop,218
175,SELF,2023-04-05,Mini Album,991.0,Pop,39
176,the Billage of perception: chapter three,,,,,66
177,Let Me Explode!,2012-08-10,Mini Album,1101.0,"Dance, Ballad",145
178,DELIGHT,2023-03-29,Mini Album,821.0,Pop,118
179,Sequence: 17&,2022-11-17,Single Album,399.0,Pop,118
180,XX,2023-03-23,Mini Album,1591.0,Pop,114
181,Cherry Dash,2023-03-07,Mini Album,968.0,Pop,101
182,The Beginning: Cupid,2023-02-24,Single Album,522.0,Pop,154
183,The Fifty,2022-11-18,,810.0,"Dance, pop, R&B, EDM",154
184,Cabin Fever,2023-02-15,Mini Album,965.0,,321
185,Geekyland,2022-07-25,mini-album,,"Kpop, pop, dance-pop",321
186,W.A.Y,2023-02-14,Mini Album,941.0,Pop,393
187,ASSEMBLE,2023-02-13,Mini Album,1060.0,Pop,394
188,ACCESS,2022-10-28,Mini Album,825.0,K-POP,394
189,RED MOON,2023-01-13,Mini Album,682.0,Pop.,316
190,NATURE WORLD: CODE W,2022-11-06,Mini Album,1076.0,KPOP,287
191,Rica Rica,2022-01-24,,,"K-pop, Dance, Ballad",287
192,I’m So Pretty,2019-07-10,,1060.0,"K-pop, Dance",287
193,SOME&LOVE,2018-08-03,,,"K-pop, Dance",287
194,Girls and Flowers,2018-08-03,,888.0,"K-pop, Dance",287
195,Day & Night,2022-10-26,Mini Album,414.0,KPOP,108
196,ANTIFRAGILE,2022-10-17,Mini Album.,806.0,,240
197,TROUBLESHOOTER,2022-10-13,Mini Album.,976.0,KPOP,230
198,First Impact,2022-01-03,,1149.0,K-pop,230
199,Born Pink,2022-09-16,full album,,"Kpop, EDM, house pop, hip hop, classical, synth pop, pop, new-wave, rock",69
200,Joy,2022-06-09,mini-album,,"Kpop, dance pop",434
201,Flip That,2022-06-20,mini-album,,"Kpop, house music, electropop, hiphop, trap",245
202,Hi! Pristin,2017-03-21,,,"K-pop, dance-pop, hip hop",318
203,Sea & Eugene & Shoo,1998-11-23,Full Album,2356.0,K-pop,337
