id,title,release_date,type,duration,genre,group_id,stock,price
37,SPIN OFF: FROM THE WITNESS,2022-12-30,Single Album,940.0,,48,82,9835660
38,THE WORLD EP.PARADIGM,2022-11-30,Mini Album,1027.0,,48,84,3275520
39,HIP,2023-11-30,Mini Album,928.0,Pop,129,20,7560902
40,I Need Love,2023-06-14,Mini Album,834.0,Pop,129,188,6385120
41,Rebel,2022-04-28,,,K-pop,129,189,15138919
42,Moment,2023-11-30,Mini Album,1163.0,Pop,303,68,8572255
43,MUST HAVE,2023-11-27,Single Album,712.0,Pop,47,20,10428036
44,The Beginning : 飛上,2023-05-18,Mini Album,1181.0,Pop,47,148,6033757
45,Potential,2023-11-24,Mini Album,829.0,Pop,151,84,9711162
46,NEW TOMORROW,2023-09-21,Mini Album,640.0,Pop,151,100,10800953
47,VillainS,2023-11-22,Mini Album,832.0,Pop,132,16,4174270
48,Apocalypse : From us,2023-05-24,Mini Album,860.0,Pop,132,183,12174729
49,Apocalypse: Follow Us,2022-10-11, mini-album,,"Kpop, rock",132,167,3752415
50,Apocalypse: Save Us,2022-04-12,,,"K-pop, rock, alternative rock, pop",132,34,11290975
51,Dystopia: Lose Myself,2020-08-17,,1161.0,K-pop,132,25,5389669
52,ODD-VENTURE,2023-11-22,Mini Album,1305.0,Pop,265,116,15757378
53,CONTINUUM,2023-11-21,Mini Album,920.0,Pop,416,96,12103806
54,PHANTASY : Pt.2 Sixth Sense,2023-11-20,Full Album,1126.0,Pop,376,132,1492611
55,BE AWAKE,2023-02-20,Mini Album,1194.0,Pop,376,165,15830602
56,ORANGE BLOOD,2023-11-17,Mini Album,1238.0,Pop,139,164,7523225
57,DARK BLOOD,,Mini Album,1093.0,,139,13,1594471
58,AMPERSAND ONE,2023-11-15,Single Album,580.0,Pop,34,73,8835964
59,Chill Kill,2023-11-13,Full Length Album,2010.0,Pop,327,49,3297039
60,The ReVe Festival 2022 – Birthday,2022-11-28,Mini Album,960.0,"K-POP, Pop, Dance.",327,107,363031
61,Rookie,2017-02-01,,1365.0,K-Pop,327,180,8147347
62,Russian Roulette,2016-09-07,,1465.0,K-Pop,327,167,10471331
63,TRIANGLE,2020-06-26,Mini Album,,"Electro Dance pop, Hip-hop.",13,136,8134309
64,ROCK-STAR,2023-11-10,Mini Album,1535.0,Pop,364,72,13907065
65,5-STAR,2023-06-02,Full Album,2194.0,Pop,364,138,15808228
66,I am YOU,2018-10-22,Extended Play (EP),1550.0,"K-pop, Hip hop",364,197,406026
67,I Am NOT,,,,,364,2,8900235
68,Circus,,,,,364,138,2449484
69,SKZ- Replay,2022-12-21,Compilation album,,"R&B/Soul, Korean Dance, Dance/Electronic, Ballads, Rock/Alt, Hip-Hop/Rap, FolkPop",364,91,2269094
70,Maxident,2022-10-07,mini-album,,"Kpop, pop, pop-rock, electronic-rock, EDM, hip-hop, R&B, rock, electronic",364,196,14343970
71,I am Who,2018-08-06,,,"K-pop, hip-hop",364,150,12365965
72,Oddinary,2022-03-18,,,K-pop,364,63,12974726
73,Christmas EveL,2021-11-29,Holiday Single,870.0,"K-pop, Rap",364,87,10470051
74,Drama,2023-11-10,Mini Album,1354.0,Pop,27,192,14068867
75,Girls,2022-07-08,mini-album,,"Kpop, synth pop, electro pop, dance pop",27,198,12186316
76,Born to be XX,2023-11-08,Mini Album,1275.0,,233,118,6347719
77,KISS OF LIFE,2023-07-05,Mini Album,1086.0,Pop,233,73,14858633
78,ready x:in,2023-04-11,Digital Single,164.0,,436,89,9417078
79,SYNCHRONICITY,2023-08-30,Mini Album,813.0,Pop,436,183,8888428
80,VERSUS,2023-11-02,Mini Album,954.0,Pop,415,108,4630308
81,Feel me,2023-11-02,Single Album,617.0,Pop,174,173,2224456
82,ColoRise,2023-11-01,Mini Album,1113.0,Pop,427,159,13805799
83,Fragments of Youth,2023-11-01,Mini Album,1549.0,Pop,99,26,11394528
84,THIS IS LOVE,2023-10-15,Digital Single,219.0,"Pop, Dance",323,88,6046343
85,UNI-Q,2023-07-06,Single Album,1022.0,,323,188,1070558
86,The Voice,2023-10-24,Digital EP,826.0,"Dance, Ballad.",312,139,1257826
87,CHOSEN KARMA,2023-03-10,Mini Album,1117.0,Pop,312,59,8844969
88,Reborn,2022-06-15,mini-album,,"Kpop, experimental pop, glitch pop, alternative rock, R&B",312,154,11927182
89,ARCADE : O,2023-10-25,Mini Album,1065.0,Pop,166,102,14282752
90,SEVENTEENTH HEAVEN,2023-10-23,Mini Album,1605.0,Pop,344,72,1070698
91,FML,2023-04-24,Mini Album,1148.0,Pop,344,140,1592617
92,Attacca,2021-10-22,,1008.0,"dance-pop, hip hop",344,28,15751924
93,Boys Be,2015-09-10,,1008.0,"dance-pop, hip hop",344,190,4951107
94,MACARONI CHEESE,2023-10-18,EP Album,,Pop,444,62,2140539
95,History Of Kingdom : PartVII. JAHAN,2023-10-18,Mini Album,,Pop,232,62,5347156
96,History of Kingdom: Part VI. Mujin,2023-03-23,,1415.0,"Dance, pop, R&B",232,78,10156387
97,Favorite,2023-10-11,EP Album,748.0,Pop,314,97,1767185
98,Livelock – The Beginning,2023-10-11,Mini Album,1396.0,Pop,437,27,2531189
99,Deadlock,,Mini Album,1380.0,,437,51,13091831
100,÷ (NANUGI),2023-10-09,Mini Album,1259.0,Pop,225,48,5423402
101,Prelude of Anxiety Chapter 2. ‘Can We Surrender?',2023-09-04,EP Album,708.0,Pop,141,192,6692452
102,Prelude of Love Chapter 2: ‘Growing Pains’,2023-04-26,EP Album,749.0,Pop,141,193,9271463
103,Prelude of Love Chapter 1: ‘Puppy Love',2022-10-26,EP Album,708.0,Pop,141,175,11269275
104,LOVE EFFECT,2023-10-04,Mini Album,916.0,Pop,305,70,499613
105,La Dolce Vita,2023-09-26,Mini Album,852.0,Pop,304,173,15439897
106,PYGMALION,2023-05-08,Mini Album,875.0,Pop,304,67,13336998
107,Trickster,2022-05-17,,,K-pop,304,38,11447679
108,폭풍 속으로 (Into The TEMPEST),2023-09-20,Single Album,559.0,Pop,374,8,6436895
109,THE CALM BEFORE THE STORM,2023-04-17,Mini Album,789.0,Pop,374,124,4874226
110,ON and ON,2022-11-22,Mini Album,785.0,Pop,374,86,226207
111,Loossemble,2023-09-15,Mini Album,1384.0,,246,196,7261742
112,7+UP,2023-09-14,Mini Album,975.0,Pop,137,200,15402902
113,LIVE,2023-09-14,Single Album,826.0,Pop,269,186,7072912
114,SUN SEEKER,2023-09-11,Mini Album,1176.0,Pop,113,40,15369493
115,MASTER : PIECE,,,,,113,49,3646144
116,New Wave,2022-09-27,Mini Album,1158.0,K-Pop,113,181,3465560
117,Sage,2023-09-07,Mini Album,1301.0,"Pop, Rock",158,181,12117962
118,BOOM,2023-09-06,Single Album,598.0,Pop,331,179,15327329
119,STILL ON MY WAY,2023-09-06,Single Album,525.0,Pop,391,91,7114696
120,STILL ON MY WAY,2023-09-06,Single Album,525.0,Pop,392,159,15355135
121,BLUE SET CHAPTER. NEW DAYZ,2023-03-15,Single Album,555.0,Pop,391,15,1446663
122,BLUE SET CHAPTER. NEW DAYZ,2023-03-15,Single Album,555.0,Pop,392,60,10051373
123,WHY..,2023-09-04,EP Album,1005.0,Pop,85,137,11085610
124,WHO!,2023-05-30,Single Album,488.0,Pop,85,39,6251455
125,Get A Guitar,2023-09-04,Single Album,338.0,,329,99,12897281
126,Us in the Summer,2023-08-29,Mini Album,757.0,Pop,105,88,1787859
127,My Little Aurora,2023-01-17,EP Album,790.0,Pop,105,149,4479747
128,Dear Diary Moment,2021-11-30,,1039.0,K-pop,105,20,1074618
129,Golden Age,,,1941.0,Pop,288,151,1573725
130,ALL MY GIRLS,2023-08-18,Single Album,591.0,Pop,143,193,14639134
131,DUBI DUBI,2023-08-10,Single Album,523.0,Pop,45,174,2032949
132,BIRTH OF COSMO,2023-08-09,Mini Album,1561.0,Pop,286,79,8884908
133,Chapter 1. Our Youth,,,,,96,160,7647375
134,FAKE LOVE,2023-08-03,Single Album,508.0,Pop,24,153,11888482
135,NEW MIND,2023-08-03,Mini Album,1193.0,Pop,292,34,7547785
136,HOUSE OF TRICKY : HOW TO PLAY,,Mini Album,1292.0,,440,94,15037776
137,HOUSE OF TRICKY : Doorbell Ringing,2023-03-30,Mini Album,1169.0,Pop,440,41,1291170
138,BLUE,2023-08-01,Mini Album,1045.0,Pop,438,26,11639878
139,Dream Land,2022-12-01,Mini Album,1059.0,"K-POP, Pop.",438,81,3336398
140,13egin,2023-07-31,Mini Album,1040.0,Pop,213,114,6068321
141,REBOOT,2023-07-28,Full Length Album,1976.0,Pop,389,146,14676930
142,New Chapter,2023-07-25,Mini Album,1207.0,Pop,211,117,10468934
143,Golden Hourglass,2023-07-24,Mini Album,1067.0,Pop,301,79,13681400
144,Real Love,2022-03-28,Album,1937.0,K-Pop,301,50,2890990
145,Get Up,2023-07-21,EP Album,733.0,Pop,290,115,10783254
146,OMG,2023-01-02,Single Album.,397.0,,290,137,13756130
147,Boys will be Boys,2023-07-19,Mini Album,1090.0,Pop,271,54,6552888
148,EXIST,2023-07-10,Regular Album,1705.0,,147,107,10688838
149,Don’t Fight the Feeling,2021-06-07,Mini album/Special album,,"K-pop, R&B, Pop",147,19,8658045
150,YOUTH IN THE SHADE,2023-07-10,Mini Album,1062.0,Pop,447,41,2905332
151,SWEET,,Album,2276.0,,401,171,14053859
152,The Name Chapter: TEMPTATION,2023-01-27,Mini Album,867.0,Pop,401,181,15941709
153,4SHO,2023-07-04,Single Album,992.0,Pop,373,114,11581648
154,Love Pt.3 : Eternally,2023-06-29,Mini Album,1009.0,,428,196,15571128
155,HARD,,Album,2006.0,,348,108,7412659
156,GIRL’s ROUND Part. 2,2023-06-21,Mini Album,1126.0,Pop,239,80,542405
157,CONTINUE?,2023-06-15,Mini Album,923.0,Pop,251,90,2850810
158,Subcönscióus,2023-06-12,Mini Album,1047.0,Pop,411,67,5731327
159,HARMONY : ALL IN,2023-06-08,Mini Album,1111.0,Pop,308,164,14591723
160,BOYHOOD,2023-06-07,Mini Album,1143.0,Pop,383,21,9571603
161,LOVE NEVER DIES,2023-02-15,Mini Album,940.0,Pop,383,153,522190
162,Unlock My World,2023-06-05,Regular Album,1926.0,Pop,157,27,3135132
163,Macarena,,,,,76,166,7993344
164,WIN-DOW,,,,,76,21,3773679
165,BOBBIN,,,,,76,147,3622894
166,SEAT-BELT,,,,,76,29,2776189
167,CHECK-IN,,,,,76,53,9164429
168,Liminality – EP.DREAM,2023-05-16,Mini Album,792.0,Pop,412,148,6614854
169,Beginning : The Wind Page,2023-05-15,Mini Album,786.0,Pop,381,119,13870693
170,Bubbling,2023-05-12,Single Album,392.0,Pop,29,57,940084
171,STAGE 0. BETTING STARTS,2022-11-17,Mini Album,628.0,Pop,29,29,10844474
172,TAKE OFF,2023-05-04,Full Album,2004.0,Pop,208,87,6325464
173,WIND AND WISH,2023-05-02,Mini Album,1082.0,Pop,89,152,7332882
174,I’ve IVE,2023-04-10,Full Album,2057.0,Pop,218,61,1579078
175,SELF,2023-04-05,Mini Album,991.0,Pop,39,183,3296673
176,the Billage of perception: chapter three,,,,,66,165,11987164
177,Let Me Explode!,2012-08-10,Mini Album,1101.0,"Dance, Ballad",145,25,9029605
178,DELIGHT,2023-03-29,Mini Album,821.0,Pop,118,195,1103157
179,Sequence: 17&,2022-11-17,Single Album,399.0,Pop,118,145,10671899
180,XX,2023-03-23,Mini Album,1591.0,Pop,114,16,2175385
181,Cherry Dash,2023-03-07,Mini Album,968.0,Pop,101,148,12076270
182,The Beginning: Cupid,2023-02-24,Single Album,522.0,Pop,154,172,298854
183,The Fifty,2022-11-18,,810.0,"Dance, pop, R&B, EDM",154,98,7324903
184,Cabin Fever,2023-02-15,Mini Album,965.0,,321,91,4070120
185,Geekyland,2022-07-25,mini-album,,"Kpop, pop, dance-pop",321,83,7795113
186,W.A.Y,2023-02-14,Mini Album,941.0,Pop,393,92,13806085
187,ASSEMBLE,2023-02-13,Mini Album,1060.0,Pop,394,129,9430619
188,ACCESS,2022-10-28,Mini Album,825.0,K-POP,394,20,8066560
189,RED MOON,2023-01-13,Mini Album,682.0,Pop.,316,103,5734750
190,NATURE WORLD: CODE W,2022-11-06,Mini Album,1076.0,KPOP,287,156,7246007
191,Rica Rica,2022-01-24,,,"K-pop, Dance, Ballad",287,150,2260938
192,I’m So Pretty,2019-07-10,,1060.0,"K-pop, Dance",287,70,15904223
193,SOME&LOVE,2018-08-03,,,"K-pop, Dance",287,170,15615680
194,Girls and Flowers,2018-08-03,,888.0,"K-pop, Dance",287,129,644696
195,Day & Night,2022-10-26,Mini Album,414.0,KPOP,108,8,7474348
196,ANTIFRAGILE,2022-10-17,Mini Album.,806.0,,240,102,12545377
197,TROUBLESHOOTER,2022-10-13,Mini Album.,976.0,KPOP,230,18,4821630
198,First Impact,2022-01-03,,1149.0,K-pop,230,4,14322720
199,Born Pink,2022-09-16,full album,,"Kpop, EDM, house pop, hip hop, classical, synth pop, pop, new-wave, rock",69,57,2118648
200,Joy,2022-06-09,mini-album,,"Kpop, dance pop",434,10,5415534
201,Flip That,2022-06-20,mini-album,,"Kpop, house music, electropop, hiphop, trap",245,59,8149641
202,Hi! Pristin,2017-03-21,,,"K-pop, dance-pop, hip hop",318,107,11999738
203,Sea & Eugene & Shoo,1998-11-23,Full Album,2356.0,K-pop,337,1,4766596
